name,ID,father,mother,spouse,lover,issue,allegiance,affiliated
Addam Whitehead,Addam_Whitehead,,,,,,House_Whitehead,Arianne_Martell;Jon_Connington;Joss_Hood
Addison Hill,Addison_Hill,,,,,,House_Swyft;Kingsguard,Visenya_Targaryen;Aegon_I_Targaryen;Aenys_I_Targaryen;Maegor_I_Targaryen;Corlys_Velaryon_(son_of_Daemon);Gyles_Morrigen;Robin_Darklyn;Richard_Roote;Gregor_Goode;Griffith_Goode;Humfrey_the_Mummer;Ryam_Redwyne;Harrold_Westerling;Criston_Cole;Willis_Fell;Marston_Waters;Raynard_Ruskyn;Alyn_Connington;Demon_of_Darry;Robert_Flowers;Aemon_Targaryen_(son_of_Viserys_II);Duncan_the_Tall;Gerold_Hightower;Barristan_Selmy;Jaime_Lannister;Steffon_Darklyn;Lorent_Marbrand;Glendon_Goode;Loras_Tyrell;Robin_Massey;Aegon_III_Targaryen;Unwin_Peake;Orys_Baratheon;Edmyn_Tully;Alton_Celtigar;Osmund_Strong;Alyn_Stokeworth;Ollidar;Lyonce;Gawen;Daemon_Velaryon;Aethan_Velaryon;Triston_Massey;Crispian_Celtigar
Adrack Humble,Adrack_Humble,,,,,,House_Humble;House_Greyjoy,Ramsay_Snow;Theon_Greyjoy;Dagon_Codd
Adrian Redfort,Adrian_Redfort,,,,,,House_Redfort;Queensguard;Blacks,Rhaenyra_Targaryen;Lorent_Marbrand;Alfred_Broome;Steffon_Darklyn;Glendon_Goode;Erryk_Cargyll;Lyonel_Bentley;Harrold_Darke;Loreth_Lansdale
Adrian Tarbeck,Adrian_Tarbeck,,,,,,House_Tarbeck;Greens,Aegon_II_Targaryen;Jason_Lannister;Tristan_Vance;Joseth_Smallwood;Petyr_Piper;Harry_Penny;Humfrey_Lefford
Adrian Thorne,Adrian_Thorne,,,,,,House_Thorne;City_Watch_of_King's_Landing,Aegon_III_Targaryen;Lucas_Leygood;Manly_Stokeworth;Qarl_Corbray;Robert_Redwyne;Daemon_Targaryen;Luthor_Largent;Perkin_the_Flea;Janos_Slynt;Jacelyn_Bywater;Addam_Marbrand;Osfryd_Kettleblack;Humfrey_Waters
Aegon Ambrose,Aegon_Ambrose,,,,,,House_Ambrose;Faith_of_the_Seven;Warrior's_Sons,Maegor_I_Targaryen
Aegon Blackfyre,Aegon_Blackfyre,Daemon_I_Blackfyre,Rohanne_of_Tyrosh,,,,House_Blackfyre,Daemon_I_Blackfyre;Rohanne_of_Tyrosh;Aemon_Blackfyre;Alyn_Cockshaw;Daemon_II_Blackfyre;Aenys_Blackfyre;Brynden_Rivers;Eustace_Osgrey;Duncan_the_Tall;Daena_Targaryen;Aegon_IV_Targaryen;Barba_Bracken;Calla_Blackfyre;Aegor_Rivers;Daemon_III_Blackfyre;Daemon_Blackfyre_(cousin_of_Maelys_I)
Aegon Frey,Aegon_Frey_(son_of_Stevron),Stevron_Frey,Jeyne_Lydden,,,,House_Frey,Aegon_Frey_(son_of_Aenys);Stevron_Frey;Jeyne_Lydden;Walder_Frey;Catelyn_Stark;Walder_Frey_(son_of_Jammos);Walder_Frey_(son_of_Merrett);Robb_Stark;Joyeuse_Erenford;Edmure_Tully;Roslin_Frey;Roose_Bolton;Raymund_Frey;Merrett_Frey;Jared_Frey;Lem;Wyman_Manderly;Perra_Royce;Corenna_Swann;Marsella_Waynwood;Ryman_Frey;Maegelle_Frey;Dafyn_Vance;Walton_Frey;Deana_Hardyng;Edwyn_Frey;Janyce_Hunter;Walder_Frey_(son_of_Ryman);Petyr_Frey;Mylenda_Caron;Marianne_Vance;Walder_Vance;Patrek_Vance;Steffon_Frey;Walda_Frey_(daughter_of_Walton);Bryan_Frey;Walda_Frey_(daughter_of_Edwyn);Perra_Frey
Aegon Frey,Aegon_Frey_(son_of_Aenys),Aenys_Frey,Tyana_Wylde,,,,House_Frey,Aegon_Frey_(son_of_Stevron);Aenys_Frey;Tyana_Wylde;Walder_Frey;Perra_Royce;Perriane_Frey;Leslyn_Haigh;Rhaegar_Frey;Jeyne_Beesbury;Harys_Haigh;Donnel_Haigh;Alyn_Haigh;Robert_Frey_(son_of_Rhaegar);Walda_Frey_(daughter_of_Rhaegar);Jonos_Frey;Walder_Haigh
Aegon I Targaryen,Aegon_I_Targaryen,Aerion_Targaryen_(son_of_Daemion),Valaena_Velaryon,,,Aenys_I_Targaryen;Maegor_I_Targaryen,,Aerion_Targaryen_(son_of_Daemion);Aenys_I_Targaryen;Visenya_Targaryen;Rhaenys_Targaryen;Maegor_I_Targaryen;Valaena_Velaryon;Orys_Baratheon;Argilac_Durrandon;Argella_Durrandon;Harren_Hoare;Edmyn_Tully;Mern_IX_Gardener;Loren_I_Lannister;Harlan_Tyrell;Torrhen_Stark;Manfred_Hightower_(Aegon's_Conquest);High_Septon_(Aegon's_Conquest);Marla_Sunderland;Warrick_Manderly;Steffon_Sunderland;Qhorin_Volmark;Lodos;Vickon_Greyjoy;Wyl_of_Wyl;Deria_Martell;Nymor_Martell;Alyssa_Velaryon;Aegon_Targaryen_(son_of_Aenys_I);Viserys_Targaryen_(son_of_Aenys_I);Jaehaerys_I_Targaryen;Alton_Celtigar;Osmund_Strong;Alyn_Stokeworth;Ollidar;Lyonce;Gawen;Crispian_Celtigar;Triston_Massey;Daemon_Velaryon;Aethan_Velaryon;Corlys_Velaryon_(son_of_Daemon);Gyldayn;Daenerys_Targaryen;Stannis_Baratheon;Davos_Seaworth;Ceryse_Hightower;Elinor_Costayne;Alys_Harroway;Rhaena_Targaryen_(daughter_of_Aenys_I);Alysanne_Targaryen;Vaella_Targaryen_(daughter_of_Aenys_I);Jeyne_Westerling_(wife_of_Maegor_I);Aerea_Targaryen;Rhaella_Targaryen_(daughter_of_Aegon);Viserys_I_Targaryen;Aegon_II_Targaryen;Aegon_III_Targaryen;Daeron_I_Targaryen;Baelor_I_Targaryen;Viserys_II_Targaryen;Aegon_IV_Targaryen;Daeron_II_Targaryen;Aerys_I_Targaryen;Maekar_I_Targaryen;Aegon_V_Targaryen;Jaehaerys_II_Targaryen;Aerys_II_Targaryen;Joffrey_Baratheon;Tommen_Baratheon;Rhaenyra_Targaryen;Aemond_Targaryen;Vaella_Targaryen_(daughter_of_Daeron);Maegor_Targaryen_(son_of_Aerion);Aemon_Targaryen_(son_of_Maekar_I);Viserys_Targaryen;Renly_Baratheon;Gaemon_Palehair;Trystane_Truefyre;Hugh_Hammer;Daemon_I_Blackfyre;Daemon_II_Blackfyre;Daemon_III_Blackfyre;Aenys_Blackfyre;Lyonel_Baratheon;Lodos_the_Twice-Drowned;Balon_Greyjoy;Euron_Greyjoy;Robb_Stark;Jonos_Arryn;Harren_the_Red
Aegon II Targaryen,Aegon_II_Targaryen,Viserys_I_Targaryen,Alicent_Hightower,,,Jaehaerys_Targaryen_(son_of_Aegon_II);Jaehaera_Targaryen;Maelor_Targaryen;Gaemon_Palehair,,Viserys_I_Targaryen;Jaehaerys_Targaryen_(son_of_Aegon_II);Maelor_Targaryen;Aegon_III_Targaryen;Helaena_Targaryen;Jaehaera_Targaryen;Gaemon_Palehair;Alicent_Hightower;Rhaenyra_Targaryen;Aegon_I_Targaryen;Orwyle;Kaeth;Mushroom;Eustace_(Dance_of_the_Dragons);Aemond_Targaryen;Daeron_Targaryen_(son_of_Viserys_I);Daemon_Targaryen;Otto_Hightower;Laenor_Velaryon;Harwin_Strong;Gyldayn;Jacaerys_Velaryon;Criston_Cole;Lyman_Beesbury;Munkun;High_Septon_(Dance_of_the_Dragons);Steffon_Darklyn;Lucerys_Velaryon;Borros_Baratheon;Blood_(the_butcher);Cheese_(the_rat-catcher);Mysaria;Corlys_Velaryon;Dalton_Greyjoy;Rhaenys_Targaryen_(daughter_of_Aemon);Larys_Strong;Baela_Targaryen;Gerardys;Marston_Waters;Alfred_Broome;Alyn_Velaryon;Cassandra_Baratheon;Marilda_of_Hull;Trystane_Truefyre;Shepherd;Kermit_Tully;Cregan_Stark;Gyles_Belgrave;Leowyn_Corbray;Perkin_the_Flea;Alysanne_Blackwood;Aenys_I_Targaryen;Maegor_I_Targaryen;Tyland_Lannister;Jasper_Wylde;Essie;Jaehaerys_I_Targaryen;Alysanne_Targaryen;Jocelyn_Baratheon;Aemon_Targaryen_(son_of_Jaehaerys_I);Daella_Targaryen_(daughter_of_Jaehaerys_I);Rodrik_Arryn;Alyssa_Targaryen;Aemma_Arryn;Rhea_Royce;Aegon_Targaryen_(son_of_Baelon);Laena_Velaryon;Baelon_Targaryen_(son_of_Viserys_I);Rhaena_Targaryen_(daughter_of_Daemon);Joffrey_Velaryon;Viserys_II_Targaryen;Visenya_Targaryen_(daughter_of_Daemon);Daeron_I_Targaryen;Baelor_I_Targaryen;Aegon_IV_Targaryen;Daeron_II_Targaryen;Aerys_I_Targaryen;Maekar_I_Targaryen;Aegon_V_Targaryen;Jaehaerys_II_Targaryen;Aerys_II_Targaryen;Joffrey_Baratheon;Tommen_Baratheon;Aegon_Targaryen_(son_of_Aenys_I);Vaella_Targaryen_(daughter_of_Daeron);Maegor_Targaryen_(son_of_Aerion);Aemon_Targaryen_(son_of_Maekar_I);Viserys_Targaryen;Daenerys_Targaryen;Renly_Baratheon;Stannis_Baratheon;Hugh_Hammer;Daemon_I_Blackfyre;Daemon_II_Blackfyre;Daemon_III_Blackfyre;Aenys_Blackfyre;Lyonel_Baratheon;Qhorin_Volmark;Lodos;Lodos_the_Twice-Drowned;Balon_Greyjoy;Euron_Greyjoy;Robb_Stark;Jonos_Arryn;Harren_the_Red;Marla_Sunderland
Aegon III Targaryen,Aegon_III_Targaryen,Daemon_Targaryen,Rhaenyra_Targaryen,,,Daeron_I_Targaryen;Baelor_I_Targaryen;Daena_Targaryen;Rhaena_Targaryen_(daughter_of_Aegon_III);Elaena_Targaryen,,Aegon_II_Targaryen;Baela_Targaryen;Viserys_II_Targaryen;Daeron_I_Targaryen;Jaehaera_Targaryen;Daenaera_Velaryon;Baelor_I_Targaryen;Daena_Targaryen;Rhaena_Targaryen_(daughter_of_Aegon_III);Elaena_Targaryen;Daemon_Targaryen;Rhaenyra_Targaryen;Yandel;Gyldayn;Mushroom;Munkun;Aegon_I_Targaryen;Alicent_Hightower;Viserys_I_Targaryen;Jacaerys_Velaryon;Lucerys_Velaryon;Joffrey_Velaryon;Laenor_Velaryon;Rhaena_Targaryen_(daughter_of_Daemon);Laena_Velaryon;Visenya_Targaryen_(daughter_of_Daemon);Aemond_Targaryen;Ormund_Hightower;Daeron_Targaryen_(son_of_Viserys_I);Corlys_Velaryon;Alfred_Broome;Larys_Strong;Tyland_Lannister;Kermit_Tully;Oscar_Tully;Benjicot_Blackwood;Cregan_Stark;Gaemon_Palehair;Perkin_the_Flea;Gyles_Belgrave;Leowyn_Corbray;Alyn_Velaryon;Corwyn_Corbray;Eustace_(Dance_of_the_Dragons);Robert_Darklyn;Robin_Massey;Orwyle;Thaddeus_Rowan;Unwin_Peake;Marston_Waters;Gareth_Long;Myrielle_Peake;Larra_Rogare;Aegon_IV_Targaryen;Laena_Velaryon_(daughter_of_Alyn);George_Graceford;Moredo_Rogare;Mervyn_Flowers;Amaury_Peake;Bernard;Torrhen_Manderly;Lotho_Rogare;Roggerio_Rogare;Daemon_I_Blackfyre;Daeron_II_Targaryen;Jon_Waters;Jeyne_Waters;Ossifer_Plumm;Viserys_Plumm;Ronnel_Penrose;Michael_Manwoody;Alford;Isembard_Arryn;Gedmund_Peake;Willis_Fell;Raynard_Ruskyn;Jeyne_Arryn;Roland_Westerling;Royce_Caron;Manfryd_Mooton;Willam_Stackspear;Marq_Merryweather;Lorent_Grandison;Daenerys_Targaryen;Viserys_Targaryen;Joffrey_Baratheon;Sansa_Stark;Margaery_Tyrell;Armen;Roone;Mollander;Jaehaerys_I_Targaryen;Alysanne_Targaryen;Jocelyn_Baratheon;Aemon_Targaryen_(son_of_Jaehaerys_I);Daella_Targaryen_(daughter_of_Jaehaerys_I);Rodrik_Arryn;Alyssa_Targaryen;Rhaenys_Targaryen_(daughter_of_Aemon);Aemma_Arryn;Rhea_Royce;Aegon_Targaryen_(son_of_Baelon);Baelon_Targaryen_(son_of_Viserys_I);Helaena_Targaryen;Jaehaerys_Targaryen_(son_of_Aegon_II);Maelor_Targaryen;Aemon_Targaryen_(son_of_Viserys_II);Naerys_Targaryen;Myriah_Martell;Maron_Martell;Daenerys_Targaryen_(daughter_of_Aegon_IV);Rohanne_of_Tyrosh;Aenys_I_Targaryen;Maegor_I_Targaryen;Aerys_I_Targaryen;Maekar_I_Targaryen;Aegon_V_Targaryen;Jaehaerys_II_Targaryen;Aerys_II_Targaryen;Tommen_Baratheon;Aegon_Targaryen_(son_of_Aenys_I);Vaella_Targaryen_(daughter_of_Daeron);Maegor_Targaryen_(son_of_Aerion);Aemon_Targaryen_(son_of_Maekar_I);Renly_Baratheon;Stannis_Baratheon;Trystane_Truefyre;Hugh_Hammer;Daemon_II_Blackfyre;Daemon_III_Blackfyre;Aenys_Blackfyre;Lyonel_Baratheon;Qhorin_Volmark;Lodos;Lodos_the_Twice-Drowned;Balon_Greyjoy;Euron_Greyjoy;Robb_Stark;Jonos_Arryn;Harren_the_Red;Marla_Sunderland
Aegon IV Targaryen,Aegon_IV_Targaryen,Viserys_II_Targaryen,Larra_Rogare,,Falena_Stokeworth;Megette;Cassella_Vaith;Bellegere_Otherys;Barba_Bracken;Melissa_Blackwood;Bethany_Bracken;Jeyne_Lothston;Serenei_of_Lys;Daena_Targaryen;Elaena_Targaryen;Butterwell_(Hand_of_the_King),Daeron_II_Targaryen;Daenerys_Targaryen_(daughter_of_Aegon_IV);Daemon_I_Blackfyre;Alysanne_(daughter_of_Aegon_IV);Lily;Willow_(daughter_of_Aegon_IV);Rosey_(daughter_of_Aegon_IV);Bellenora_Otherys;Narha_Otherys;Balerion_Otherys;Aegor_Rivers;Mya_Rivers;Gwenys_Rivers;Brynden_Rivers;Shiera_Seastar;Viserys_Plumm;Butterwell_(Hand_of_the_King);Jeyne_Lothston,,Viserys_II_Targaryen;Daeron_II_Targaryen;Naerys_Targaryen;Falena_Stokeworth;Megette;Cassella_Vaith;Bellegere_Otherys;Barba_Bracken;Melissa_Blackwood;Bethany_Bracken;Jeyne_Lothston;Serenei_of_Lys;Daena_Targaryen;Elaena_Targaryen;Butterwell_(Hand_of_the_King);Daenerys_Targaryen_(daughter_of_Aegon_IV);Daemon_I_Blackfyre;Alysanne_(daughter_of_Aegon_IV);Lily;Willow_(daughter_of_Aegon_IV);Rosey_(daughter_of_Aegon_IV);Bellenora_Otherys;Narha_Otherys;Balerion_Otherys;Aegor_Rivers;Mya_Rivers;Gwenys_Rivers;Brynden_Rivers;Shiera_Seastar;Viserys_Plumm;Larra_Rogare;Rhaena_Targaryen_(daughter_of_Daemon);Aegon_III_Targaryen;Bernard;Lysandro_Rogare;Aemon_Targaryen_(son_of_Viserys_II);Daeron_I_Targaryen;Baelor_I_Targaryen;Ossifer_Plumm;Alford;Morgil_Hastwyck;Kaeth;Terrence_Toyne;Lord_Bracken;Aegon_I_Targaryen;Rohanne_of_Tyrosh;Maegor_I_Targaryen;Myriah_Martell;Joffrey_Staunton;Rhaena_Targaryen_(daughter_of_Aegon_III);Jon_Hightower;Aenys_I_Targaryen;Aegon_II_Targaryen;Arys_Oakheart;Arianne_Martell;Joffrey_Baratheon;Sansa_Stark;Barristan_Selmy;Catelyn_Stark;Robb_Stark;Arlan_of_Pennytree;Duncan_the_Tall;Aemma_Arryn;Viserys_I_Targaryen;Alicent_Hightower;Daemon_Targaryen;Rhaenyra_Targaryen;Helaena_Targaryen;Aemond_Targaryen;Daeron_Targaryen_(son_of_Viserys_I);Daenaera_Velaryon;Jaehaera_Targaryen;Jaehaerys_Targaryen_(son_of_Aegon_II);Maelor_Targaryen;Maron_Martell;Jaehaerys_I_Targaryen;Aerys_I_Targaryen;Maekar_I_Targaryen;Aegon_V_Targaryen;Jaehaerys_II_Targaryen;Aerys_II_Targaryen;Tommen_Baratheon;Aegon_Targaryen_(son_of_Aenys_I);Vaella_Targaryen_(daughter_of_Daeron);Maegor_Targaryen_(son_of_Aerion);Aemon_Targaryen_(son_of_Maekar_I);Viserys_Targaryen;Daenerys_Targaryen;Renly_Baratheon;Stannis_Baratheon;Gaemon_Palehair;Trystane_Truefyre;Hugh_Hammer;Daemon_II_Blackfyre;Daemon_III_Blackfyre;Aenys_Blackfyre;Lyonel_Baratheon;Qhorin_Volmark;Lodos;Lodos_the_Twice-Drowned;Balon_Greyjoy;Euron_Greyjoy;Jonos_Arryn;Harren_the_Red;Marla_Sunderland
Aegon V Targaryen,Aegon_V_Targaryen,Maekar_I_Targaryen,Dyanna_Dayne,,,Duncan_Targaryen;Jaehaerys_II_Targaryen;Shaera_Targaryen;Daeron_Targaryen_(son_of_Aegon_V);Rhaelle_Targaryen,,"Maekar_I_Targaryen;Duncan_Targaryen;Jaehaerys_II_Targaryen;Betha_Blackwood;Shaera_Targaryen;Daeron_Targaryen_(son_of_Aegon_V);Rhaelle_Targaryen;Dyanna_Dayne;Duncan_the_Tall;Aemon_Targaryen_(son_of_Maekar_I);Viserys_II_Targaryen;Aegon_III_Targaryen;Melaquin;Aerion_Targaryen;Rhae_Targaryen;Daella_Targaryen_(daughter_of_Maekar_I);Daeron_Targaryen_(son_of_Maekar_I);Lyonel_Baratheon;Baelor_Targaryen_(son_of_Daeron_II);Eustace_Osgrey;Rohanne_Webber;Daeron_II_Targaryen;Wyman_Webber;Lucas_Inchfield;Mallor;Aerys_I_Targaryen;Uthor_Underleaf;Lothar;Ambrose_Butterwell;Lord_Frey;Tommard_Heddle;Brynden_Rivers;Tion_Lannister;Tywald_Lannister;Vaella_Targaryen_(daughter_of_Daeron);Maegor_Targaryen_(son_of_Aerion);Aenys_Blackfyre;Daemon_III_Blackfyre;Aegor_Rivers;Tytos_Lannister;Celia_Tully;Luthor_Tyrell;Jenny_of_Oldstones;Ormund_Baratheon;Olenna_Redwyne;Jeremy_Norridge;The_Rat,_the_Hawk,_and_the_Pig;Aerys_II_Targaryen;Tywin_Lannister;Jon_Snow;Jeor_Mormont;Barristan_Selmy;Myriah_Martell;Jena_Dondarrion;Aelinor_Penrose;Rhaegel_Targaryen;Alys_Arryn_(wife_of_Rhaegel);Valarr_Targaryen;Kiera_of_Tyrosh;Matarys_Targaryen;Aelora_Targaryen;Aelor_Targaryen;Daenora_Targaryen;Rhaella_Targaryen;Rhaegar_Targaryen;Elia_Martell;Shaena_Targaryen;Jaehaerys_Targaryen_(son_of_Aerys_II);Drogo;Daenerys_Targaryen;Hizdahr_zo_Loraq;Rhaenys_Targaryen_(daughter_of_Rhaegar);Aegon_Targaryen_(son_of_Rhaegar);Daeron_Targaryen_(son_of_Aerys_II);Aegon_Targaryen_(son_of_Aerys_II);Viserys_Targaryen;Rhaego;Aegon_I_Targaryen;Aenys_I_Targaryen;Maegor_I_Targaryen;Jaehaerys_I_Targaryen;Viserys_I_Targaryen;Aegon_II_Targaryen;Daeron_I_Targaryen;Baelor_I_Targaryen;Aegon_IV_Targaryen;Joffrey_Baratheon;Tommen_Baratheon;Aegon_Targaryen_(son_of_Aenys_I);Rhaenyra_Targaryen;Aemond_Targaryen;Renly_Baratheon;Stannis_Baratheon;Gaemon_Palehair;Trystane_Truefyre;Hugh_Hammer;Daemon_I_Blackfyre;Daemon_II_Blackfyre;Qhorin_Volmark;Lodos;Lodos_the_Twice-Drowned;Balon_Greyjoy;Euron_Greyjoy;Robb_Stark;Jonos_Arryn;Harren_the_Red;Marla_Sunderland"
Aegon Targaryen,Aegon_Targaryen_(son_of_Gaemon),Gaemon_Targaryen_(son_of_Aenar),,Elaena_Targaryen_(daughter_of_Gaemon),,Maegon_Targaryen;Aerys_Targaryen_(son_of_Aegon),House_Targaryen,Gaemon_Targaryen_(son_of_Aenar);Elaena_Targaryen_(daughter_of_Gaemon);Maegon_Targaryen;Aerys_Targaryen_(son_of_Aegon);Aelyx_Targaryen;Baelon_Targaryen_(son_of_Aerys);Daemion_Targaryen;Aerion_Targaryen_(son_of_Daemion);Valaena_Velaryon;Argella_Durrandon;Orys_Baratheon;Visenya_Targaryen;Aegon_I_Targaryen;Rhaenys_Targaryen
Aegon Targaryen,Aegon_Targaryen_(son_of_Aenys_I),Aenys_I_Targaryen,Alyssa_Velaryon,Rhaena_Targaryen_(daughter_of_Aenys_I),,Aerea_Targaryen;Rhaella_Targaryen_(daughter_of_Aegon),House_Targaryen,Rhaena_Targaryen_(daughter_of_Aenys_I);Aenys_I_Targaryen;Alyssa_Velaryon;Aerea_Targaryen;Rhaella_Targaryen_(daughter_of_Aegon);Maegor_I_Targaryen;Aegon_I_Targaryen;Viserys_Targaryen_(son_of_Aenys_I);Visenya_Targaryen;Lyman_Lannister;Tyanna_of_the_Tower;Valaena_Velaryon;Aerion_Targaryen_(son_of_Daemion);Rhaenys_Targaryen;Orys_Baratheon;Argella_Durrandon;Ceryse_Hightower;Elinor_Costayne;Alys_Harroway;Jaehaerys_I_Targaryen;Alysanne_Targaryen;Vaella_Targaryen_(daughter_of_Aenys_I);Jeyne_Westerling_(wife_of_Maegor_I);Aemon_Targaryen_(son_of_Jaehaerys_I);Viserys_I_Targaryen;Aegon_II_Targaryen;Aegon_III_Targaryen;Daeron_I_Targaryen;Baelor_I_Targaryen;Viserys_II_Targaryen;Aegon_IV_Targaryen;Daeron_II_Targaryen;Aerys_I_Targaryen;Maekar_I_Targaryen;Aegon_V_Targaryen;Jaehaerys_II_Targaryen;Aerys_II_Targaryen;Joffrey_Baratheon;Tommen_Baratheon;Rhaenyra_Targaryen;Aemond_Targaryen;Vaella_Targaryen_(daughter_of_Daeron);Maegor_Targaryen_(son_of_Aerion);Aemon_Targaryen_(son_of_Maekar_I);Viserys_Targaryen;Daenerys_Targaryen;Renly_Baratheon;Stannis_Baratheon;Gaemon_Palehair;Trystane_Truefyre;Hugh_Hammer;Daemon_I_Blackfyre;Daemon_II_Blackfyre;Daemon_III_Blackfyre;Aenys_Blackfyre;Lyonel_Baratheon;Qhorin_Volmark;Lodos;Lodos_the_Twice-Drowned;Balon_Greyjoy;Euron_Greyjoy;Robb_Stark;Jonos_Arryn;Harren_the_Red;Marla_Sunderland
Aegon Targaryen,Aegon_Targaryen_(son_of_Jaehaerys_I),Jaehaerys_I_Targaryen,Alysanne_Targaryen,,,,House_Targaryen,Jaehaerys_I_Targaryen;Alysanne_Targaryen;Aegon_I_Targaryen;Aegon_Targaryen_(son_of_Aenys_I);Aenys_I_Targaryen;Alyssa_Velaryon;Rhaena_Targaryen_(daughter_of_Aenys_I);Viserys_Targaryen_(son_of_Aenys_I);Vaella_Targaryen_(daughter_of_Aenys_I);Daenerys_Targaryen_(daughter_of_Jaehaerys_I);Aemon_Targaryen_(son_of_Jaehaerys_I);Alyssa_Targaryen;Maegelle_Targaryen;Vaegon_Targaryen;Daella_Targaryen_(daughter_of_Jaehaerys_I);Saera_Targaryen;Viserra_Targaryen;Gaemon_Targaryen_(son_of_Jaehaerys_I);Valerion_Targaryen;Gael_Targaryen
