ID,name,community,primary_house,region
Albin_Massey,Albin Massey,3,House_Massey,Crownlands
Alchemist,Alchemist,11,Faceless_Men,Essos
Alebelly,Alebelly,5,House_Stark,North
Alec_Hunter,Alec Hunter,3,House_Hunter,Vale
Alekyne_Florent,Alekyne Florent,12,House_Florent,Reach
Alerie_Hightower,Alerie Hightower,12,House_Hightower,Reach
Alesander_Frey,Alesander Frey,4,House_Frey,Riverlands
Alesander_Staedmon,Alesander Staedmon,8,House_Staedmon,Stormlands
Alesandor_Torrent,Alesandor Torrent,8,House_Torrent,
Alester_Florent,Alester Florent,8,House_Florent,Reach
Alester_Oakheart,Alester Oakheart,12,House_Oakheart,Reach
Alester_Wynch,Alester Wynch,2,House_Wynch,Iron_Islands
Alf_of_Runnymudd,Alf of Runnymudd,5,Night's_Watch,Order
Alfador,Alfador,2,Citadel,Order
Alford,Alford,1,Citadel,Order
Alfred_Broome,Alfred Broome,2,Blacks,Crownlands
Alfyn_Crowkiller,Alfyn,5,,
Alfyn_(septon),Alfyn,3,Faith_of_the_Seven,Order
Alia,Alia,5,,
Aliandra_Martell,Aliandra Martell,2,House_Martell,Dorne
Alicent_Hightower,Alicent Hightower,2,House_Hightower,Reach
Alios_Qhaedar,Alios Qhaedar,7,,
All-for-Joffrey,All-for-Joffrey,11,,
Alla_Tyrell,Alla Tyrell,12,House_Tyrell,Reach
Allar,Allar,3,Citadel,Order
Allar_Deem,Allar Deem,12,City_Watch_of_King's_Landing,
Allard_Royce,Allard Royce,3,House_Royce,Vale
Allard_Seaworth,Allard Seaworth,8,House_Seaworth,Stormlands
Alleras,Alleras,11,Citadel,Order
Alliser_Thorne,Alliser Thorne,5,House_Thorne,Crownlands
Allyria_Dayne,Allyria Dayne,5,House_Dayne,Dorne
Alton_Beesbury,Alton Beesbury,12,House_Beesbury,Reach
Alton_Butterwell,Alton Butterwell,3,House_Butterwell,
Alton_Celtigar,Alton Celtigar,3,House_Celtigar,Crownlands
Alton_Greyjoy,Alton Greyjoy,14,House_Greyjoy,Iron_Islands
Alvyn_Sharp,Alvyn Sharp,14,House_Sharp,
Alyce,Alyce,4,Peach,
Alyce_Graceford,Alyce Graceford,12,House_Graceford,Reach
Alyn,Alyn,5,House_Stark,North
Red_Alyn_of_the_Rosewood,Red Alyn of the Rosewood,5,Night's_Watch,Order
Sour_Alyn,Sour Alyn,5,House_Bolton,North
Alyn_Ambrose,Alyn Ambrose,12,House_Ambrose,Reach
Alyn_Bullock,Alyn Bullock,3,House_Targaryen,Crownlands
Alyn_Cockshaw,Alyn Cockshaw,1,House_Blackfyre,Crownlands
Alyn_Connington,Alyn Connington,4,House_Connington,Stormlands
Alyn_Estermont,Alyn Estermont,12,House_Estermont,Stormlands
Alyn_Marbrand,Alyn Marbrand,1,House_Marbrand,Westerlands
Alyn_Orkwood,Alyn Orkwood,14,House_Orkwood,
Alyn_Stackspear,Alyn Stackspear,4,House_Stackspear,Westerlands
Alyn_Stokeworth,Alyn Stokeworth,3,House_Stokeworth,Crownlands
Alyn_Tarbeck,Alyn Tarbeck,3,House_Tarbeck,Westerlands
Alyn_Terrick,Alyn Terrick,3,House_Terrick,Riverlands
Alyn_Velaryon,Alyn Velaryon,2,House_Velaryon,Crownlands
Alynne_Connington,Alynne Connington,7,House_Connington,Stormlands
Alys_Arryn,Alys Arryn,5,House_Arryn,Vale
Alys_Arryn_(wife_of_Rhaegel),Alys Arryn,1,House_Arryn,Vale
Alys_Harroway,Alys Harroway,3,House_Targaryen,Crownlands
Alys_Karstark,Alys Karstark,5,House_Karstark,North
Alys_Karstark_(wife_of_Brandon),Alys Karstark,1,House_Karstark,North
Alys_Oakheart,Alys Oakheart,3,House_Oakheart,Reach
Alys_Rivers,Alys Rivers,2,House_Strong,Riverlands
Alys_Rivers's_son,Alys Rivers's son,2,House_Targaryen,Crownlands
Alys_Stackspear,Alys Stackspear,1,House_Stackspear,Westerlands
Alys_Stark,Alys Stark,2,House_Stark,North
Alys_Stone,Alys Stone,5,House_Hardyng,Vale
Alys_Turnberry,Alys Turnberry,3,House_Turnberry,Westerlands
Alysane_Mormont,Alysane Mormont,4,House_Mormont,North
Alysanne_(daughter_of_Aegon_IV),Alysanne,2,Faith_of_the_Seven,Order
Alysanne_Blackwood,Alysanne Blackwood,2,House_Blackwood,Riverlands
Alysanne_Bracken,Alysanne Bracken,12,House_Bracken,Riverlands
Alysanne_Bulwer,Alysanne Bulwer,12,House_Tyrell,Reach
Alysanne_Farman,Alysanne Farman,1,House_Farman,Westerlands
Alysanne_Lefford,Alysanne Lefford,12,House_Lefford,Westerlands
Alysanne_Osgrey,Alysanne Osgrey,1,House_Osgrey,Reach
Alysanne_Targaryen,Alysanne Targaryen,3,House_Targaryen,Crownlands
Alysanne_Tarth,Alysanne of Tarth,12,House_Tarth,Stormlands
Alyse_Ladybright,Alyse Ladybright,12,House_Ladybright,Dorne
Alyssa_Arryn,Alyssa Arryn,12,House_Arryn,Vale
Alyssa_Blackwood,Alyssa Blackwood,4,House_Blackwood,Riverlands
Alyssa_Royce,Alyssa Royce,2,House_Royce,Vale
Alyssa_Targaryen,Alyssa Targaryen,3,House_Targaryen,Crownlands
Alyssa_Velaryon,Alyssa Velaryon,3,House_Velaryon,Crownlands
Alyx_Frey,Alyx Frey,4,House_Frey,Riverlands
Amabel,Amabel,4,House_Whent,Riverlands
Amanda_Arryn,Amanda Arryn,3,House_Arryn,Vale
Amarei_Crakehall,Amarei Crakehall,4,House_Crakehall,Westerlands
Amarys,Amarys,2,Faith_of_the_Seven,Order
Amaury_Peake,Amaury Peake,2,House_Peake,Reach
Ambrode,Ambrode,5,,
Ambrose_Butterwell,Ambrose Butterwell,1,House_Targaryen,Crownlands
Amerei_Frey,Amerei Frey,4,House_Frey,Riverlands
Amory_Lorch,Amory Lorch,11,House_Lorch,Westerlands
Amos_Bracken,Amos Bracken,2,House_Bracken,Riverlands
Andahar,Andahar,4,,
Andar_Royce,Andar Royce,5,House_Royce,Vale
Anders_Yronwood,Anders Yronwood,12,House_Yronwood,Dorne
Andrew_Estermont,Andrew Estermont,8,House_Estermont,Stormlands
Andrew_Tollett,Andrew Tollett,12,House_Tollett,Vale
Andrey_Dalt,Andrey Dalt,12,House_Dalt,Dorne
Andrik,Andrik,14,House_Drumm,Iron_Islands
Andros_Brax,Andros Brax,4,House_Brax,Westerlands
Androw_Ashford,Androw Ashford,1,House_Ashford,
Androw_Farman,Androw Farman,3,House_Farman,Westerlands
Anguy,Anguy,4,Brotherhood_without_banners,Outlaw
Annara_Farring,Annara Farring,4,House_Farring,Crownlands
Anselm,Anselm,3,Citadel,Order
Anson,Anson,3,Citadel,Order
Antario_Jast,Antario Jast,4,House_Jast,Westerlands
Anya_Waynwood,Anya Waynwood,12,House_Waynwood,Vale
Anya_Weatherwax,Anya Weatherwax,2,House_Weatherwax,
Archibald_Yronwood,Archibald Yronwood,7,House_Yronwood,Dorne
Archon's_daughter_(Jaehaerys_I),Archon's daughter (Jaehaerys I),3,House_Baratheon,Stormlands
Archon's_green-haired_daughter,Archon's green-haired daughter,12,Archon_of_Tyrosh,
Ardrian_Celtigar,Ardrian Celtigar,8,House_Celtigar,Crownlands
Areo_Hotah,Areo Hotah,12,House_Martell,Dorne
Argella_Durrandon,Argella Durrandon,3,House_Baratheon,Stormlands
Argelle_Stark,Argelle Stark,2,House_Stark,North
Argilac_Durrandon,Argilac Durrandon,3,,
Argos_Sevenstar,Argos Sevenstar,14,,
Argoth_Stone-Skin,Argoth Stone-Skin,0,,
Argrave_the_Defiant,Argrave the Defiant,1,House_Butterwell,
Arianne_Martell,Arianne Martell,12,House_Martell,Dorne
Arianne_Tarth,Arianne Tarth,12,House_Tarth,Stormlands
Arlan_of_Pennytree,Arlan of Pennytree,1,House_Dondarrion,Stormlands
Arlan_I_Durrandon,Arlan I Durrandon,9,,
Arlan_III_Durrandon,Arlan III Durrandon,9,,
Arlan_V_Durrandon,Arlan V Durrandon,9,,
Armen,Armen,11,Citadel,Order
Armen_Peake,Armen Peake,3,House_Peake,Reach
Armistead_Vance,Armistead Vance,13,House_Vance,Riverlands
Armond_Caswell,Armond Caswell,1,House_Caswell,Reach
Armond_Connington,Armond Connington,7,House_Connington,Stormlands
Arnell,Arnell,12,Night's_Watch,Order
Arnold_Arryn,Arnold Arryn,2,House_Arryn,Vale
Arnolf_Karstark,Arnolf Karstark,5,House_Karstark,North
Aron_Santagar,Aron Santagar,12,House_Santagar,Dorne
Arra_Norrey,Arra Norrey,2,House_Norrey,North
Arrana_Stark,Arrana Stark,2,House_Stark,North
Arrec_Durrandon,Arrec Durrandon,9,,
Arron,Arron,5,Night's_Watch,Order
Arron_Qorgyle,Arron Qorgyle,12,House_Qorgyle,Dorne
Arryk_(guard),Arryk,12,House_Tyrell,Reach
Arryk_Cargyll,Arryk Cargyll,2,Kingsguard,Order
Lord_Arryn_(father_of_Jeyne),Lord Arryn (father of Jeyne),2,House_Arryn,Vale
Arsa_Stark,Arsa Stark,1,House_Stark,North
Arstan_Selmy,Arstan Selmy,7,House_Selmy,Stormlands
Arthor_Celtigar,Arthor Celtigar,2,House_Celtigar,Crownlands
Arthor_Karstark,Arthor Karstark,5,House_Karstark,North
Arthor_Oakheart,Arthor Oakheart,3,House_Oakheart,Reach
Arthur_Dayne,Arthur Dayne,7,House_Dayne,Dorne
Arthur_Goodbrother,Arthur Goodbrother,2,House_Goodbrother,Iron_Islands
Artos_Flint,Artos Flint,8,House_Flint_of_the_mountains,
Artos_Stark,Artos Stark,8,House_Stark,North
Artys_I_Arryn,Artys I Arryn,13,,
Arwood_Frey,Arwood Frey,4,House_Frey,Riverlands
Arwyn_Frey,Arwyn Frey,4,House_Frey,Riverlands
Arwyn_Oakheart,Arwyn Oakheart,12,House_Oakheart,Reach
Arya_Flint,Arya Flint,5,House_Stark,North
Arya_Stark,Arya Stark,5,House_Stark,North
Arys_Oakheart,Arys Oakheart,12,House_Oakheart,Reach
Ash,Ash,5,Three-eyed_crow,
Asha_Greyjoy,Asha Greyjoy,14,House_Greyjoy,Iron_Islands
Ashara_Dayne,Ashara Dayne,5,House_Dayne,Dorne
Lord_Ashford,Lord Ashford,1,House_Ashford,
Lord_Ashford's_daughter,Lord Ashford's daughter,1,House_Ashford,
Aubrey_Ambrose,Aubrey Ambrose,1,House_Ambrose,Reach
Aurane_Waters,Aurane Waters,12,House_Velaryon,Crownlands
Axel_Tully,Axel Tully,13,House_Tully,Riverlands
Axell_Florent,Axell Florent,8,House_Florent,Reach
Azor_Ahai,Azor Ahai,8,,
Azzak_zo_Ghazeen,Azzak zo Ghazeen,7,House_of_Ghazeen,
Bael_the_Bard,Bael the Bard,5,,
Baelish_(hedge_knight),Baelish (hedge knight),12,House_Baelish,Vale
Baelish_(lord),Baelish (lord),12,House_Baelish,Vale
Baelish_(sellsword),Baelish (sellsword),12,House_Corbray,Vale
Baela_Targaryen,Baela Targaryen,2,House_Targaryen,Crownlands
Baelon_Targaryen_(son_of_Aerys),Baelon Targaryen,3,House_Targaryen,Crownlands
Baelon_Targaryen_(son_of_Viserys_I),Baelon Targaryen,2,House_Targaryen,Crownlands
Baelor_Blacktyde,Baelor Blacktyde,14,House_Blacktyde,Iron_Islands
Baelor_Hightower,Baelor Hightower,12,House_Hightower,Reach
Baelor_I_Targaryen,Baelor I Targaryen,1,House_Targaryen,Crownlands
Baelor_Targaryen_(son_of_Daeron_II),Baelor Targaryen,1,House_Targaryen,Crownlands
Black_Balaq,Black Balaq,7,Golden_Company,Sellsword
Baldrick,Baldrick,3,Faith_of_the_Seven,Order
Balerion_Otherys,Balerion Otherys,1,House_Targaryen,Crownlands
Ballabar,Ballabar,12,Citadel,Order
Balman_Byrch,Balman Byrch,12,House_Byrch,Crownlands
Balon_Botley,Balon Botley,14,House_Botley,Iron_Islands
Balon_Greyjoy,Balon Greyjoy,14,House_Greyjoy,Iron_Islands
Balon_Swann,Balon Swann,12,House_Swann,Stormlands
Bambarro_Bazanne,Bambarro Bazanne,2,,
Bandy,Bandy,5,House_Stark,North
Bannen,Bannen,5,Night's_Watch,Order
Barba_Bolton,Barba Bolton,2,House_Bolton,North
Barba_Bracken,Barba Bracken,1,House_Bracken,Riverlands
Barbara_Bracken,Barbara Bracken,12,House_Bracken,Riverlands
Barbrey_Dustin,Barbrey Dustin,5,House_Ryswell,North
Barra,Barra,5,House_Baratheon,Stormlands
Barra's_mother,Barra's mother,12,Chataya's_brothel,
Barre,Barre,8,,
Barristan_Selmy,Barristan Selmy,7,House_Selmy,Stormlands
Barsena_Blackhair,Barsena Blackhair,7,,
Barth,Barth,3,Faith_of_the_Seven,Order
Barth_(brewer),Barth,12,House_Stark,North
Barthogan_Stark,Barthogan Stark,2,House_Stark,North
Bartimos_Celtigar,Bartimos Celtigar,2,House_Celtigar,Crownlands
Bartimus,Bartimus,8,House_Manderly,North
Bass,Bass,5,Night's_Watch,Order
Bastard_of_Blackhaven,Bastard of Blackhaven,3,House_Dondarrion,Stormlands
Bastard_of_Harrenhal,Bastard of Harrenhal,1,House_Lothston,Riverlands
Bastard's_bastard,Bastard's bastard,14,,
Bayard_Norcross,Bayard Norcross,12,House_Norcross,Reach
Bean,Bean,2,,
Beans,Beans,7,Windblown,Sellsword
Bearded_woman,Bearded woman,7,House_of_Qaggaz,
Beatrice_Butterwell,Beatrice Butterwell,3,House_Butterwell,
Bearded_Ben,Bearded Ben,5,Night's_Watch,Order
Beardless_Dick,Beardless Dick,11,Brotherhood_without_banners,Outlaw
Becca,Becca,5,,
Becca_the_Baker,Becca the Baker,4,,
Bedwyck,Bedwyck,5,Night's_Watch,Order
Belandra,Belandra,12,House_Martell,Dorne
Belaquo_Bonebreaker,Belaquo Bonebreaker,7,House_of_Loraq,Essos
Beldecar,Beldecar,7,,
Beldon,Beldon,1,Citadel,Order
Lord_Belgrave,Lord Belgrave,1,House_Belgrave,
Belicho_Staegone,Belicho Staegone,7,,
Belis,Belis,7,Alchemists'_Guild,
Bella,Bella,5,House_Baratheon,Stormlands
Bellegere_Otherys,Bellegere Otherys,1,House_Otherys,
Bellegere_Otherys_(Courtesan),Bellegere Otherys,5,House_Otherys,
Bellenora_Otherys,Bellenora Otherys,1,House_Targaryen,Crownlands
Bellonara_Otherys,Bellonara Otherys,5,House_Otherys,
Belwas,Belwas,7,House_Targaryen,Crownlands
Ben,Ben,12,,
Ben_(Big_Belly),Ben,4,Kingswood_Brotherhood,
Ben_Beesbury,Ben Beesbury,12,House_Beesbury,Reach
Ben_Blackthumb,Ben Blackthumb,4,House_Lothston,Riverlands
Ben_Bones,Ben Bones,5,House_Bolton,North
Ben_Bushy,Ben Bushy,12,House_Bushy,
Ben_Buttercakes,Ben Buttercakes,2,,
Ben_Coldwater,Ben Coldwater,5,House_Coldwater,Vale
Ben_Plumm,Ben Plumm,7,Second_Sons,Sellsword
Bendamure,Bendamure,2,Citadel,Order
Benedar_Belmore,Benedar Belmore,12,House_Belmore,Vale
Benedict,Benedict,14,Citadel,Order
Benedict_Blackmont,Benedict Blackmont,10,,
Benedict_Royce,Benedict Royce,8,House_Royce,Vale
Benerro,Benerro,7,R'hllor,
Benethon_Scales,Benethon Scales,5,House_Baratheon_of_Dragonstone,Crownlands
Benfred_Tallhart,Benfred Tallhart,5,House_Tallhart,North
Benfrey_Frey,Benfrey Frey,4,House_Frey,Riverlands
Benifer,Benifer,3,Citadel,Order
Benjen_Stark,Benjen Stark,5,House_Stark,North
Benjen_Stark_(lord),Benjen Stark,2,House_Stark,North
Benjen_Stark_(son_of_Bennard),Benjen Stark,2,House_Stark,North
Benjicot,Benjicot,5,,
Benjicot_Branch,Benjicot Branch,14,House_Branch,
Benjicot_Blackwood,Benjicot Blackwood,2,House_Blackwood,Riverlands
Bennard_Stark,Bennard Stark,2,House_Stark,North
Bennarion_Botley,Bennarion Botley,14,House_Botley,Iron_Islands
Bennis,Bennis,1,House_Osgrey,Reach
Bent-backed_man,Bent-backed man,4,House_Roote,Riverlands
Benton_Glover,Benton Glover,3,House_Glover,North
Beqqo,Beqqo,5,,
Beren_Tallhart,Beren Tallhart,5,House_Tallhart,North
Berena_Hornwood,Berena Hornwood,5,House_Hornwood,North
Beric_Dondarrion,Beric Dondarrion,4,House_Dondarrion,Stormlands
Bernard,Bernard,2,Faith_of_the_Seven,Order
Black_Bernarr,Black Bernarr,5,Night's_Watch,Order
Brown_Bernarr,Brown Bernarr,5,Night's_Watch,Order
Bernarr_Brune,Bernarr Brune,3,House_Brune,Crownlands
Beron_(serjeant),Beron,5,House_Dustin,North
Beron_Stark,Beron Stark,1,House_Stark,North
Beron_Blacktyde,Beron Blacktyde,14,House_Blacktyde,Iron_Islands
Bertram_Beesbury,Bertram Beesbury,4,House_Beesbury,Reach
Bertrand_Tyrell,Bertrand Tyrell,3,House_Tyrell,Reach
Bess_Bracken,Bess Bracken,12,House_Bracken,Riverlands
Bessa_(Hag's_Mire),Bessa,4,,
Bessa_(Winterfell),Bessa,5,,
Bessaro_Reyaan,Bessaro Reyaan,5,House_Reyaan,
Beth_Cassel,Beth Cassel,5,House_Cassel,North
Betha_Blackwood,Betha Blackwood,7,House_Blackwood,Riverlands
Blushing_Bethany,Blushing Bethany,5,Happy_Port,
Bethany_Blackwood,Bethany Blackwood,4,House_Blackwood,Riverlands
Bethany_Bolton,Bethany Bolton,5,House_Ryswell,North
Bethany_Bracken,Bethany Bracken,1,House_Bracken,Riverlands
Bethany_Fair-Fingers,Bethany Fair-Fingers,12,,
Bethany_Hightower,Bethany Hightower,2,House_Hightower,Reach
Bethany_Redwyne,Bethany Redwyne,4,House_Redwyne,Reach
Bethany_Rosby,Bethany Rosby,4,House_Rosby,Crownlands
Betharios_of_Braavos,Betharios of Braavos,4,House_Frey,Riverlands
Bhakaz_zo_Loraq,Bhakaz zo Loraq,7,House_of_Loraq,Essos
Bharbo,Bharbo,7,,
Big_Boil,Big Boil,5,Mance_Rayder,Beyond_the_Wall
Lord_Bigglestone,Lord Bigglestone,2,Blacks,Crownlands
Muttering_Bill,Muttering Bill,5,Night's_Watch,Order
Old_Bill_Bone,Old Bill Bone,7,Windblown,Sellsword
Billy_Burley,Billy Burley,2,House_Burley,North
Biter,Biter,12,House_Lorch,Westerlands
Black_Knife,Black Knife,5,Three-eyed_crow,
Blackshield,Blackshield,7,House_Mullendore,Reach
Lord_Blacktyde,Lord Blacktyde,14,House_Blacktyde,Iron_Islands
Lord_Blackwood_(Aerys_II),Lord Blackwood (Aerys II),4,House_Blackwood,Riverlands
Blane,Blane,5,Night's_Watch,Order
Blind_Lord,Blind Lord,14,House_Flint_of_Flint's_Finger,
Blood_(the_butcher),Blood (the butcher),2,Blacks,Crownlands
Bloodbeard,Bloodbeard,7,Company_of_the_Cat,Sellsword
Bluetooth,Bluetooth,14,House_Greyjoy,Iron_Islands
Bobono,Bobono,12,Gate_(playhouse),
Bodger,Bodger,5,Mance_Rayder,Beyond_the_Wall
Bokkoko,Bokkoko,12,Second_Sons,Sellsword
Bonifer_Hasty,Bonifer Hasty,12,House_Hasty,Stormlands
Books,Books,7,Windblown,Sellsword
Borcas,Borcas,5,Night's_Watch,Order
Boremund_Baratheon,Boremund Baratheon,3,House_Baratheon,Stormlands
Boremund_Harlaw,Boremund Harlaw,14,House_Harlaw_of_Harridan_Hill,
Boros_Blount,Boros Blount,12,Kingsguard,Order
Lord_Borrell_(father_of_Godric),Lord Borrell (father of Godric),5,House_Borrell,Vale
Borroq,Borroq,5,Mance_Rayder,Beyond_the_Wall
Borros_Baratheon,Borros Baratheon,2,House_Baratheon,Stormlands
Bors,Bors,12,House_Martell,Dorne
Borys_Baratheon,Borys Baratheon,3,House_Baratheon,Stormlands
Bowen_Marsh,Bowen Marsh,5,Night's_Watch,Order
Boy,Boy,4,Brotherhood_without_banners,Outlaw
Lady_Bracken,Lady Bracken,4,House_Bracken,Riverlands
Lord_Bracken,Lord Bracken,1,House_Bracken,Riverlands
Lord_Bracken_(father_of_Otho),Lord Bracken (father of Otho),1,House_Bracken,Riverlands
Lord_Bracken_(Aerys_II),Lord Bracken (Aerys II),4,House_Bracken,Riverlands
Bramm_of_Blackhull,Bramm of Blackhull,3,,
Branda_Stark,Branda Stark,8,House_Stark,North
Brandon_of_the_Bloody_Blade,Brandon of the Bloody Blade,0,,
Brandon_Norrey,Brandon Norrey,5,House_Norrey,North
Brandon_Norrey_(son_of_Brandon),Brandon Norrey,5,House_Norrey,North
Brandon_Snow,Brandon Snow,3,House_Stark,North
Brandon_the_Builder,Brandon the Builder,0,,
Brandon_Stark_(son_of_Bran_the_Builder),Brandon Stark,0,House_Stark,North
Brandon_Stark_(Breaker),Brandon Stark,5,,
Brandon_Stark_(Shipwright),Brandon Stark,5,,
Brandon_Stark_(Burner),Brandon Stark,4,,
Brandon_Stark_(the_Boisterous),Brandon Stark,2,House_Stark,North
Brandon_Stark_(the_daughterless),Brandon Stark,5,House_Stark,North
Brandon_Stark_(father_of_Walton),Brandon Stark,3,House_Stark,North
Brandon_Stark_(son_of_Bennard),Brandon Stark,2,House_Stark,North
Brandon_Stark_(son_of_Cregan),Brandon Stark,1,House_Stark,North
Brandon_Stark_(son_of_Willam),Brandon Stark,8,House_Stark,North
Brandon_Stark,Brandon Stark,5,House_Stark,North
Bran_Stark,Brandon Stark,5,House_Stark,North
Brandon_Tallhart,Brandon Tallhart,5,House_Tallhart,North
Brass-seller,Brass-seller,7,,
Braxton_Beesbury,Braxton Beesbury,3,House_Beesbury,Reach
Brea,Brea,5,,
Brella,Brella,12,House_Baratheon,Stormlands
Brendel_Byrne,Brendel Byrne,7,Golden_Company,Sellsword
Brenett,Brenett,4,Citadel,Order
Briar,Briar,5,,
Brienne_Tarth,Brienne Tarth,12,House_Tarth,Stormlands
Briony,Briony,1,,
Brogg,Brogg,5,Mance_Rayder,Beyond_the_Wall
Broken_Nose,Broken Nose,11,City_Watch_of_King's_Landing,
Bronn,Bronn,12,House_Lannister,Westerlands
Brus_Buckler,Brus Buckler,8,House_Buckler,Stormlands
Brusco,Brusco,5,,
Big_Brusco,Big Brusco,7,Gate_(playhouse),
Brute,Brute,14,,
Bryan_Fossoway,Bryan Fossoway,8,House_Fossoway_of_Cider_Hall,
Bryce_Caron,Bryce Caron,8,House_Caron,Stormlands
