ID,name,community,primary_house,community_dominant_house,agrees_with_community
Aeron_Greyjoy,Aeron Greyjoy,8,House_Greyjoy,House_Greyjoy,True
Aerys_Targaryen_(son_of_Aegon),Aerys Targaryen,6,House_Targaryen,House_Targaryen,True
Aerys_I_Targaryen,Aerys I Targaryen,14,House_Targaryen,House_Targaryen,True
Aerys_II_Targaryen,Aerys II Targaryen,7,House_Targaryen,House_Targaryen,True
Aerys_II_Targaryen's_last_mistress,Aerys II Targaryen's last mistress,7,House_Targaryen,House_Targaryen,True
Aethan,Aethan,5,Night's_Watch,Night's_Watch,True
Aethan_Velaryon,Aethan Velaryon,3,House_Velaryon,House_Targaryen,False
Aethelmure,Aethelmure,5,Citadel,Night's_Watch,False
Aggar,Aggar,5,House_Greyjoy,Night's_Watch,False
Aggo,Aggo,7,Drogo,House_Targaryen,False
Aglantine,Aglantine,0,Faith_of_the_Seven,House_Martell,False
Agnes_Blackwood,Agnes Blackwood,9,House_Blackwood,House_Blackwood,True
Agramore_Cobb,Agramore Cobb,2,House_Cobb,House_Stark,False
Aladale_Wynch,Aladale Wynch,5,House_Wynch,Night's_Watch,False
Alan_of_Rosby,Alan of Rosby,5,Night's_Watch,Night's_Watch,True
Alan_Beesbury,Alan Beesbury,2,House_Beesbury,House_Stark,False
Alan_Tarly,Alan Tarly,2,House_Tarly,House_Stark,False
Alannys_Harlaw,Alannys Harlaw,5,House_Greyjoy,Night's_Watch,False
Alaric_of_Eysen,Alaric of Eysen,0,,House_Martell,False
Alaric_Stark,Alaric Stark,3,House_Stark,House_Targaryen,False
Alarra_Massey,Alarra Massey,3,House_Massey,House_Targaryen,False
Alarra_Stark,Alarra Stark,3,House_Stark,House_Targaryen,False
Alastor_Reyne,Alastor Reyne,3,House_Reyne,House_Targaryen,False
Alayaya,Alayaya,0,Chataya's_brothel,House_Martell,False
Alayne_Baelish,Alayne Baelish,0,House_Baelish,House_Martell,False
Alayne_Royce,Alayne Royce,3,House_Royce,House_Targaryen,False
Albar_Royce,Albar Royce,5,House_Royce_of_the_Gates_of_the_Moon,Night's_Watch,False
Albett,Albett,5,Night's_Watch,Night's_Watch,True
Albin_Manwoody,Albin Manwoody,10,,Rhoynar,False
Albin_Massey,Albin Massey,3,House_Massey,House_Targaryen,False
Alchemist,Alchemist,11,Faceless_Men,Citadel,False
Alebelly,Alebelly,5,House_Stark,Night's_Watch,False
Alec_Hunter,Alec Hunter,3,House_Hunter,House_Targaryen,False
Alekyne_Florent,Alekyne Florent,0,House_Florent,House_Martell,False
Alerie_Hightower,Alerie Hightower,0,House_Hightower,House_Martell,False
Alesander_Frey,Alesander Frey,13,House_Frey,House_Frey,True
Alesander_Staedmon,Alesander Staedmon,12,House_Staedmon,House_Baratheon_of_Dragonstone,False
Alesandor_Torrent,Alesandor Torrent,12,House_Torrent,House_Baratheon_of_Dragonstone,False
Alester_Florent,Alester Florent,12,House_Florent,House_Baratheon_of_Dragonstone,False
Alester_Oakheart,Alester Oakheart,0,House_Oakheart,House_Martell,False
Alester_Wynch,Alester Wynch,2,House_Wynch,House_Stark,False
Alf_of_Runnymudd,Alf of Runnymudd,5,Night's_Watch,Night's_Watch,True
Alfador,Alfador,2,Citadel,House_Stark,False
Alford,Alford,14,Citadel,House_Targaryen,False
Alfred_Broome,Alfred Broome,2,House_Broome,House_Stark,False
Alfyn_Crowkiller,Alfyn,5,,Night's_Watch,False
Alfyn_(septon),Alfyn,3,Faith_of_the_Seven,House_Targaryen,False
Alia,Alia,5,,Night's_Watch,False
Aliandra_Martell,Aliandra Martell,2,House_Martell,House_Stark,False
Alicent_Hightower,Alicent Hightower,2,House_Hightower,House_Stark,False
Alios_Qhaedar,Alios Qhaedar,7,,House_Targaryen,False
All-for-Joffrey,All-for-Joffrey,13,,House_Frey,False
Alla_Tyrell,Alla Tyrell,0,House_Tyrell,House_Martell,False
Allar,Allar,3,Citadel,House_Targaryen,False
Allar_Deem,Allar Deem,0,City_Watch_of_King's_Landing,House_Martell,False
Allard_Royce,Allard Royce,3,House_Royce,House_Targaryen,False
Allard_Seaworth,Allard Seaworth,12,House_Seaworth,House_Baratheon_of_Dragonstone,False
Alleras,Alleras,11,Citadel,Citadel,True
Alliser_Thorne,Alliser Thorne,5,House_Thorne,Night's_Watch,False
Allyria_Dayne,Allyria Dayne,5,House_Dayne,Night's_Watch,False
Alton_Beesbury,Alton Beesbury,0,House_Beesbury,House_Martell,False
Alton_Butterwell,Alton Butterwell,3,House_Butterwell,House_Targaryen,False
Alton_Celtigar,Alton Celtigar,3,House_Celtigar,House_Targaryen,False
Alton_Greyjoy,Alton Greyjoy,8,House_Greyjoy,House_Greyjoy,True
Alvyn_Sharp,Alvyn Sharp,8,House_Sharp,House_Greyjoy,False
Alyce,Alyce,13,Peach,House_Frey,False
Alyce_Graceford,Alyce Graceford,0,House_Graceford,House_Martell,False
Alyn,Alyn,5,House_Stark,Night's_Watch,False
Red_Alyn_of_the_Rosewood,Red Alyn of the Rosewood,5,Night's_Watch,Night's_Watch,True
Sour_Alyn,Sour Alyn,5,House_Bolton,Night's_Watch,False
Alyn_Ambrose,Alyn Ambrose,0,House_Ambrose,House_Martell,False
Alyn_Bullock,Alyn Bullock,3,House_Bullock,House_Targaryen,False
Alyn_Cockshaw,Alyn Cockshaw,14,House_Cockshaw,House_Targaryen,False
Alyn_Connington,Alyn Connington,13,House_Connington,House_Frey,False
Alyn_Estermont,Alyn Estermont,0,House_Estermont,House_Martell,False
Alyn_Marbrand,Alyn Marbrand,14,House_Marbrand,House_Targaryen,False
Alyn_Orkwood,Alyn Orkwood,8,House_Orkwood,House_Greyjoy,False
Alyn_Stackspear,Alyn Stackspear,13,House_Stackspear,House_Frey,False
Alyn_Stokeworth,Alyn Stokeworth,3,House_Stokeworth,House_Targaryen,False
Alyn_Tarbeck,Alyn Tarbeck,3,House_Tarbeck,House_Targaryen,False
Alyn_Terrick,Alyn Terrick,3,House_Terrick,House_Targaryen,False
Alyn_Velaryon,Alyn Velaryon,2,House_Velaryon,House_Stark,False
Alynne_Connington,Alynne Connington,7,House_Connington,House_Targaryen,False
Alys_Arryn,Alys Arryn,5,House_Arryn,Night's_Watch,False
Alys_Arryn_(wife_of_Rhaegel),Alys Arryn,14,House_Arryn,House_Targaryen,False
Alys_Harroway,Alys Harroway,3,House_Harroway,House_Targaryen,False
Alys_Karstark,Alys Karstark,5,House_Karstark,Night's_Watch,False
Alys_Karstark_(wife_of_Brandon),Alys Karstark,14,House_Karstark,House_Targaryen,False
Alys_Oakheart,Alys Oakheart,3,House_Oakheart,House_Targaryen,False
Alys_Rivers,Alys Rivers,2,House_Strong,House_Stark,False
Alys_Rivers's_son,Alys Rivers's son,2,,House_Stark,False
Alys_Stackspear,Alys Stackspear,14,House_Stackspear,House_Targaryen,False
Alys_Stark,Alys Stark,2,House_Stark,House_Stark,True
Alys_Stone,Alys Stone,5,House_Hardyng,Night's_Watch,False
Alys_Turnberry,Alys Turnberry,3,House_Turnberry,House_Targaryen,False
Alysane_Mormont,Alysane Mormont,13,House_Mormont,House_Frey,False
Alysanne_(daughter_of_Aegon_IV),Alysanne,2,Faith_of_the_Seven,House_Stark,False
Alysanne_Blackwood,Alysanne Blackwood,2,House_Blackwood,House_Stark,False
Alysanne_Bracken,Alysanne Bracken,0,House_Bracken,House_Martell,False
Alysanne_Bulwer,Alysanne Bulwer,0,House_Bulwer,House_Martell,False
Alysanne_Farman,Alysanne Farman,14,House_Farman,House_Targaryen,False
Alysanne_Lefford,Alysanne Lefford,0,House_Lefford,House_Martell,False
Alysanne_Osgrey,Alysanne Osgrey,14,House_Osgrey,House_Targaryen,False
Alysanne_Targaryen,Alysanne Targaryen,3,House_Targaryen,House_Targaryen,True
Alysanne_Tarth,Alysanne of Tarth,0,House_Tarth,House_Martell,False
Alyse_Ladybright,Alyse Ladybright,0,House_Ladybright,House_Martell,False
Alyssa_Arryn,Alyssa Arryn,0,House_Arryn,House_Martell,False
Alyssa_Blackwood,Alyssa Blackwood,13,House_Blackwood,House_Frey,False
Alyssa_Royce,Alyssa Royce,2,House_Royce,House_Stark,False
Alyssa_Targaryen,Alyssa Targaryen,3,House_Targaryen,House_Targaryen,True
Alyssa_Velaryon,Alyssa Velaryon,3,House_Velaryon,House_Targaryen,False
Alyx_Frey,Alyx Frey,13,House_Frey,House_Frey,True
Amabel,Amabel,13,House_Whent,House_Frey,False
Amanda_Arryn,Amanda Arryn,3,House_Arryn,House_Targaryen,False
Amarei_Crakehall,Amarei Crakehall,13,House_Crakehall,House_Frey,False
Amarys,Amarys,2,Faith_of_the_Seven,House_Stark,False
Amaury_Peake,Amaury Peake,2,House_Peake,House_Stark,False
Ambrode,Ambrode,5,,Night's_Watch,False
Ambrose_Butterwell,Ambrose Butterwell,14,House_Butterwell,House_Targaryen,False
Amerei_Frey,Amerei Frey,13,House_Frey,House_Frey,True
Amory_Lorch,Amory Lorch,13,House_Lorch,House_Frey,False
Amos_Bracken,Amos Bracken,2,House_Bracken,House_Stark,False
Andahar,Andahar,13,,House_Frey,False
Andar_Royce,Andar Royce,5,House_Royce,Night's_Watch,False
Anders_Yronwood,Anders Yronwood,0,House_Yronwood,House_Martell,False
Andrew_Estermont,Andrew Estermont,12,House_Estermont,House_Baratheon_of_Dragonstone,False
Andrew_Tollett,Andrew Tollett,0,House_Tollett,House_Martell,False
Andrey_Dalt,Andrey Dalt,0,House_Dalt,House_Martell,False
Andrik,Andrik,8,House_Drumm,House_Greyjoy,False
Andros_Brax,Andros Brax,13,House_Brax,House_Frey,False
Androw_Ashford,Androw Ashford,14,House_Ashford,House_Targaryen,False
Androw_Farman,Androw Farman,3,House_Farman,House_Targaryen,False
Anguy,Anguy,13,Brotherhood_without_banners,House_Frey,False
Annara_Farring,Annara Farring,13,House_Farring,House_Frey,False
Anselm,Anselm,3,Citadel,House_Targaryen,False
Anson,Anson,3,Citadel,House_Targaryen,False
Antario_Jast,Antario Jast,13,House_Jast,House_Frey,False
Anya_Waynwood,Anya Waynwood,0,House_Waynwood,House_Martell,False
Anya_Weatherwax,Anya Weatherwax,2,House_Weatherwax,House_Stark,False
Archibald_Yronwood,Archibald Yronwood,7,House_Yronwood,House_Targaryen,False
Archon's_daughter_(Jaehaerys_I),Archon's daughter (Jaehaerys I),3,Archon_of_Tyrosh,House_Targaryen,False
Archon's_green-haired_daughter,Archon's green-haired daughter,0,Archon_of_Tyrosh,House_Martell,False
Ardrian_Celtigar,Ardrian Celtigar,12,House_Celtigar,House_Baratheon_of_Dragonstone,False
Areo_Hotah,Areo Hotah,0,Holy_guard,House_Martell,False
Argella_Durrandon,Argella Durrandon,3,House_Durrandon,House_Targaryen,False
Argelle_Stark,Argelle Stark,2,House_Stark,House_Stark,True
Argilac_Durrandon,Argilac Durrandon,3,,House_Targaryen,False
Argos_Sevenstar,Argos Sevenstar,8,,House_Greyjoy,False
Argoth_Stone-Skin,Argoth Stone-Skin,4,,Citadel,False
Argrave_the_Defiant,Argrave the Defiant,14,House_Butterwell,House_Targaryen,False
Arianne_Martell,Arianne Martell,0,House_Martell,House_Martell,True
Arianne_Tarth,Arianne Tarth,0,House_Tarth,House_Martell,False
Arlan_of_Pennytree,Arlan of Pennytree,14,House_Dondarrion,House_Targaryen,False
Arlan_I_Durrandon,Arlan I Durrandon,9,,House_Blackwood,False
Arlan_III_Durrandon,Arlan III Durrandon,9,,House_Blackwood,False
Arlan_V_Durrandon,Arlan V Durrandon,9,,House_Blackwood,False
Armen,Armen,11,Citadel,Citadel,True
Armen_Peake,Armen Peake,3,House_Peake,House_Targaryen,False
Armistead_Vance,Armistead Vance,1,House_Vance,House_Tully,False
Armond_Caswell,Armond Caswell,14,House_Caswell,House_Targaryen,False
Armond_Connington,Armond Connington,7,House_Connington,House_Targaryen,False
Arnell,Arnell,0,Night's_Watch,House_Martell,False
Arnold_Arryn,Arnold Arryn,2,House_Arryn,House_Stark,False
Arnolf_Karstark,Arnolf Karstark,5,House_Karstark,Night's_Watch,False
Aron_Santagar,Aron Santagar,0,House_Santagar,House_Martell,False
Arra_Norrey,Arra Norrey,2,House_Norrey,House_Stark,False
Arrana_Stark,Arrana Stark,2,House_Stark,House_Stark,True
Arrec_Durrandon,Arrec Durrandon,9,,House_Blackwood,False
Arron,Arron,5,Night's_Watch,Night's_Watch,True
Arron_Qorgyle,Arron Qorgyle,0,House_Qorgyle,House_Martell,False
Arryk_(guard),Arryk,0,House_Tyrell,House_Martell,False
Arryk_Cargyll,Arryk Cargyll,2,House_Cargyll,House_Stark,False
Lord_Arryn_(father_of_Jeyne),Lord Arryn (father of Jeyne),2,House_Arryn,House_Stark,False
Arsa_Stark,Arsa Stark,14,House_Stark,House_Targaryen,False
Arstan_Selmy,Arstan Selmy,7,House_Selmy,House_Targaryen,False
Arthor_Celtigar,Arthor Celtigar,2,House_Celtigar,House_Stark,False
Arthor_Karstark,Arthor Karstark,5,House_Karstark,Night's_Watch,False
Arthor_Oakheart,Arthor Oakheart,3,House_Oakheart,House_Targaryen,False
Arthur_Dayne,Arthur Dayne,7,House_Dayne,House_Targaryen,False
Arthur_Goodbrother,Arthur Goodbrother,2,House_Goodbrother,House_Stark,False
Artos_Flint,Artos Flint,12,House_Flint_of_the_mountains,House_Baratheon_of_Dragonstone,False
Artos_Stark,Artos Stark,12,House_Stark,House_Baratheon_of_Dragonstone,False
Artys_I_Arryn,Artys I Arryn,1,,House_Tully,False
Arwood_Frey,Arwood Frey,13,House_Frey,House_Frey,True
Arwyn_Frey,Arwyn Frey,13,House_Frey,House_Frey,True
Arwyn_Oakheart,Arwyn Oakheart,0,House_Oakheart,House_Martell,False
Arya_Flint,Arya Flint,5,House_Flint_of_the_mountains,Night's_Watch,False
Arya_Stark,Arya Stark,13,House_Stark,House_Frey,False
Arys_Oakheart,Arys Oakheart,0,House_Oakheart,House_Martell,False
Ash,Ash,5,Three-eyed_crow,Night's_Watch,False
Asha_Greyjoy,Asha Greyjoy,8,House_Greyjoy,House_Greyjoy,True
Ashara_Dayne,Ashara Dayne,5,House_Dayne,Night's_Watch,False
Lord_Ashford,Lord Ashford,14,House_Ashford,House_Targaryen,False
Lord_Ashford's_daughter,Lord Ashford's daughter,14,House_Ashford,House_Targaryen,False
Aubrey_Ambrose,Aubrey Ambrose,14,House_Ambrose,House_Targaryen,False
Aurane_Waters,Aurane Waters,0,House_Velaryon,House_Martell,False
Axel_Tully,Axel Tully,1,House_Tully,House_Tully,True
Axell_Florent,Axell Florent,12,House_Florent,House_Baratheon_of_Dragonstone,False
Azor_Ahai,Azor Ahai,12,,House_Baratheon_of_Dragonstone,False
Azzak_zo_Ghazeen,Azzak zo Ghazeen,7,House_of_Ghazeen,House_Targaryen,False
Bael_the_Bard,Bael the Bard,5,,Night's_Watch,False
Baelish_(hedge_knight),Baelish (hedge knight),0,House_Baelish,House_Martell,False
Baelish_(lord),Baelish (lord),0,House_Baelish,House_Martell,False
Baelish_(sellsword),Baelish (sellsword),0,House_Corbray,House_Martell,False
Baela_Targaryen,Baela Targaryen,2,House_Targaryen,House_Stark,False
Baelon_Targaryen_(son_of_Aerys),Baelon Targaryen,3,House_Targaryen,House_Targaryen,True
Baelon_Targaryen_(son_of_Viserys_I),Baelon Targaryen,2,House_Targaryen,House_Stark,False
Baelor_Blacktyde,Baelor Blacktyde,8,House_Blacktyde,House_Greyjoy,False
Baelor_Hightower,Baelor Hightower,0,House_Hightower,House_Martell,False
Baelor_I_Targaryen,Baelor I Targaryen,14,House_Targaryen,House_Targaryen,True
Baelor_Targaryen_(son_of_Daeron_II),Baelor Targaryen,14,House_Targaryen,House_Targaryen,True
Black_Balaq,Black Balaq,7,Golden_Company,House_Targaryen,False
Baldrick,Baldrick,3,Faith_of_the_Seven,House_Targaryen,False
Balerion_Otherys,Balerion Otherys,14,House_Otherys,House_Targaryen,False
Ballabar,Ballabar,0,Citadel,House_Martell,False
Balman_Byrch,Balman Byrch,0,House_Byrch,House_Martell,False
Balon_Botley,Balon Botley,8,House_Botley,House_Greyjoy,False
Balon_Greyjoy,Balon Greyjoy,8,House_Greyjoy,House_Greyjoy,True
Balon_Swann,Balon Swann,0,House_Swann,House_Martell,False
Bambarro_Bazanne,Bambarro Bazanne,2,,House_Stark,False
Bandy,Bandy,5,House_Stark,Night's_Watch,False
Bannen,Bannen,5,Night's_Watch,Night's_Watch,True
Barba_Bolton,Barba Bolton,2,House_Bolton,House_Stark,False
Barba_Bracken,Barba Bracken,14,House_Bracken,House_Targaryen,False
Barbara_Bracken,Barbara Bracken,0,House_Bracken,House_Martell,False
Barbrey_Dustin,Barbrey Dustin,5,House_Ryswell,Night's_Watch,False
Barra,Barra,5,House_Baratheon,Night's_Watch,False
Barra's_mother,Barra's mother,0,Chataya's_brothel,House_Martell,False
Barre,Barre,12,,House_Baratheon_of_Dragonstone,False
Barristan_Selmy,Barristan Selmy,7,House_Selmy,House_Targaryen,False
Barsena_Blackhair,Barsena Blackhair,7,,House_Targaryen,False
Barth,Barth,3,Faith_of_the_Seven,House_Targaryen,False
Barth_(brewer),Barth,0,House_Stark,House_Martell,False
Barthogan_Stark,Barthogan Stark,2,House_Stark,House_Stark,True
Bartimos_Celtigar,Bartimos Celtigar,2,House_Celtigar,House_Stark,False
Bartimus,Bartimus,12,House_Manderly,House_Baratheon_of_Dragonstone,False
Bass,Bass,5,Night's_Watch,Night's_Watch,True
Bastard_of_Blackhaven,Bastard of Blackhaven,3,House_Dondarrion,House_Targaryen,False
Bastard_of_Harrenhal,Bastard of Harrenhal,14,House_Lothston,House_Targaryen,False
Bastard's_bastard,Bastard's bastard,8,,House_Greyjoy,False
Bayard_Norcross,Bayard Norcross,0,House_Norcross,House_Martell,False
Bean,Bean,2,,House_Stark,False
Beans,Beans,7,Windblown,House_Targaryen,False
Bearded_woman,Bearded woman,7,House_of_Qaggaz,House_Targaryen,False
Beatrice_Butterwell,Beatrice Butterwell,3,House_Butterwell,House_Targaryen,False
Bearded_Ben,Bearded Ben,5,Night's_Watch,Night's_Watch,True
Beardless_Dick,Beardless Dick,13,Brotherhood_without_banners,House_Frey,False
Becca,Becca,5,,Night's_Watch,False
Becca_the_Baker,Becca the Baker,13,,House_Frey,False
Bedwyck,Bedwyck,5,Night's_Watch,Night's_Watch,True
Belandra,Belandra,0,House_Martell,House_Martell,True
Belaquo_Bonebreaker,Belaquo Bonebreaker,7,House_of_Loraq,House_Targaryen,False
Beldecar,Beldecar,10,,Rhoynar,False
Beldon,Beldon,14,Citadel,House_Targaryen,False
Lord_Belgrave,Lord Belgrave,14,House_Belgrave,House_Targaryen,False
Belicho_Staegone,Belicho Staegone,7,,House_Targaryen,False
Belis,Belis,7,Alchemists'_Guild,House_Targaryen,False
Bella,Bella,5,Peach,Night's_Watch,False
Bellegere_Otherys,Bellegere Otherys,14,House_Otherys,House_Targaryen,False
Bellegere_Otherys_(Courtesan),Bellegere Otherys,13,House_Otherys,House_Frey,False
Bellenora_Otherys,Bellenora Otherys,14,House_Otherys,House_Targaryen,False
Bellonara_Otherys,Bellonara Otherys,13,House_Otherys,House_Frey,False
Belwas,Belwas,7,House_Targaryen,House_Targaryen,True
Ben,Ben,0,,House_Martell,False
Ben_(Big_Belly),Ben,13,Kingswood_Brotherhood,House_Frey,False
Ben_Beesbury,Ben Beesbury,0,House_Beesbury,House_Martell,False
Ben_Blackthumb,Ben Blackthumb,13,House_Lothston,House_Frey,False
Ben_Bones,Ben Bones,5,House_Bolton,Night's_Watch,False
Ben_Bushy,Ben Bushy,0,House_Bushy,House_Martell,False
Ben_Buttercakes,Ben Buttercakes,2,,House_Stark,False
Ben_Coldwater,Ben Coldwater,5,House_Coldwater,Night's_Watch,False
Ben_Plumm,Ben Plumm,7,House_of_Pahl,House_Targaryen,False
Bendamure,Bendamure,2,Citadel,House_Stark,False
Benedar_Belmore,Benedar Belmore,0,House_Belmore,House_Martell,False
Benedict,Benedict,8,Citadel,House_Greyjoy,False
Benedict_Blackmont,Benedict Blackmont,10,,Rhoynar,False
Benedict_Royce,Benedict Royce,12,House_Royce,House_Baratheon_of_Dragonstone,False
Benerro,Benerro,7,R'hllor,House_Targaryen,False
Benethon_Scales,Benethon Scales,5,House_Scales,Night's_Watch,False
Benfred_Tallhart,Benfred Tallhart,5,House_Tallhart,Night's_Watch,False
Benfrey_Frey,Benfrey Frey,13,House_Frey,House_Frey,True
Benifer,Benifer,3,Citadel,House_Targaryen,False
Benjen_Stark,Benjen Stark,5,House_Stark,Night's_Watch,False
Benjen_Stark_(lord),Benjen Stark,2,House_Stark,House_Stark,True
Benjen_Stark_(son_of_Bennard),Benjen Stark,2,House_Stark,House_Stark,True
Benjicot,Benjicot,5,,Night's_Watch,False
Benjicot_Branch,Benjicot Branch,8,House_Branch,House_Greyjoy,False
Benjicot_Blackwood,Benjicot Blackwood,2,House_Blackwood,House_Stark,False
Bennard_Stark,Bennard Stark,2,House_Stark,House_Stark,True
Bennarion_Botley,Bennarion Botley,8,House_Botley,House_Greyjoy,False
Bennis,Bennis,14,House_Osgrey,House_Targaryen,False
Bent-backed_man,Bent-backed man,13,House_Roote,House_Frey,False
Benton_Glover,Benton Glover,3,House_Glover,House_Targaryen,False
Beqqo,Beqqo,13,,House_Frey,False
Beren_Tallhart,Beren Tallhart,5,House_Tallhart,Night's_Watch,False
Berena_Hornwood,Berena Hornwood,5,House_Hornwood,Night's_Watch,False
Beric_Dondarrion,Beric Dondarrion,13,House_Dondarrion,House_Frey,False
Bernard,Bernard,2,Faith_of_the_Seven,House_Stark,False
Black_Bernarr,Black Bernarr,5,Night's_Watch,Night's_Watch,True
Brown_Bernarr,Brown Bernarr,5,Night's_Watch,Night's_Watch,True
Bernarr_Brune,Bernarr Brune,3,House_Brune,House_Targaryen,False
Beron_(serjeant),Beron,5,House_Dustin,Night's_Watch,False
Beron_Stark,Beron Stark,14,House_Stark,House_Targaryen,False
Beron_Blacktyde,Beron Blacktyde,8,House_Blacktyde,House_Greyjoy,False
Bertram_Beesbury,Bertram Beesbury,13,House_Beesbury,House_Frey,False
Bertrand_Tyrell,Bertrand Tyrell,3,House_Tyrell,House_Targaryen,False
Bess_Bracken,Bess Bracken,0,House_Bracken,House_Martell,False
Bessa_(Hag's_Mire),Bessa,13,,House_Frey,False
Bessa_(Winterfell),Bessa,5,,Night's_Watch,False
Bessaro_Reyaan,Bessaro Reyaan,13,House_Reyaan,House_Frey,False
Beth_Cassel,Beth Cassel,5,House_Cassel,Night's_Watch,False
Betha_Blackwood,Betha Blackwood,7,House_Blackwood,House_Targaryen,False
Blushing_Bethany,Blushing Bethany,13,Happy_Port,House_Frey,False
Bethany_Blackwood,Bethany Blackwood,13,House_Blackwood,House_Frey,False
Bethany_Bolton,Bethany Bolton,5,House_Ryswell,Night's_Watch,False
Bethany_Bracken,Bethany Bracken,14,House_Bracken,House_Targaryen,False
Bethany_Fair-Fingers,Bethany Fair-Fingers,0,,House_Martell,False
Bethany_Hightower,Bethany Hightower,2,House_Hightower,House_Stark,False
Bethany_Redwyne,Bethany Redwyne,13,House_Redwyne,House_Frey,False
Bethany_Rosby,Bethany Rosby,13,House_Rosby,House_Frey,False
Betharios_of_Braavos,Betharios of Braavos,13,House_Frey,House_Frey,True
Bhakaz_zo_Loraq,Bhakaz zo Loraq,7,House_of_Loraq,House_Targaryen,False
Bharbo,Bharbo,7,,House_Targaryen,False
Big_Boil,Big Boil,5,Mance_Rayder,Night's_Watch,False
Lord_Bigglestone,Lord Bigglestone,2,House_Bigglestone,House_Stark,False
Muttering_Bill,Muttering Bill,5,Night's_Watch,Night's_Watch,True
Old_Bill_Bone,Old Bill Bone,7,Windblown,House_Targaryen,False
Billy_Burley,Billy Burley,2,House_Burley,House_Stark,False
Biter,Biter,0,House_Lorch,House_Martell,False
