ID,year,source,era
Alys_Frey,298.0,died,ASOIAF main
Alys_Harroway,44.0,died,Targaryen Conquest
Alys_Karstark,314.0,born+30,Unknown
Alys_Karstark_(wife_of_Brandon),173.0,died,Fire & Blood
Alys_Oakheart,,unknown,Unknown
Alys_Rivers,119.0,born+30,Fire & Blood
Alys_Rivers's_son,130.0,event:Dance of the Dragons,Fire & Blood
Alys_Stackspear,244.0,died,Mid-Targaryen
Alys_Stark,193.0,born+30,Fire & Blood
Alys_Stone,328.0,born+30,Unknown
Alys_Turnberry,97.0,born+30,Fire & Blood
Alysane_Mormont,308.0,born+30,ASOIAF main
Alysanne_(daughter_of_Aegon_IV),185.0,born+30,Fire & Blood
Alysanne_Blackwood,179.0,died,Fire & Blood
Alysanne_Bracken,,unknown,Unknown
Alysanne_Bulwer,321.0,born+30,Unknown
Alysanne_Farman,219.0,died,Mid-Targaryen
Alysanne_Hightower,,unknown,Unknown
Alysanne_Lefford,,unknown,Unknown
Alysanne_Osgrey,209.0,died,Mid-Targaryen
Alysanne_Stark,255.0,born+30,Late Targaryen
Alysanne_Targaryen,100.0,died,Fire & Blood
Alysanne_Tarth,,unknown,Unknown
Alyse_Ladybright,,unknown,Unknown
Alyssa_Arryn,,unknown,Unknown
Alyssa_Blackwood,278.0,died,Late Targaryen
Alyssa_Royce,163.0,born+30,Fire & Blood
Alyssa_Targaryen,84.0,died,Fire & Blood
Alyssa_Velaryon,54.0,died,Fire & Blood
Alyx_Frey,312.0,born+30,Unknown
Amabel,,unknown,Unknown
Amanda_Arryn,104.0,born+30,Fire & Blood
Amarei_Crakehall,264.0,died,Late Targaryen
Amarys,,unknown,Unknown
Amaury_Peake,135.0,died,Fire & Blood
Ambrode,,unknown,Unknown
Ambrose_Butterwell,191.0,born+30,Fire & Blood
Amerei_Frey,312.0,born+30,Unknown
Amethyst_Empress,,unknown,Unknown
Amory_Lorch,299.0,died,ASOIAF main
Amos_Bracken,129.0,died,Fire & Blood
Andahar,,unknown,Unknown
Andar_Royce,300.0,event:War of the Five Kings,ASOIAF main
Anders_Yronwood,,unknown,Unknown
Andrew_Estermont,300.0,event:War of the Five Kings,ASOIAF main
Andrew_Tollett,,unknown,Unknown
Andrey_Charlton,299.0,died,ASOIAF main
Andrey_Dalt,,unknown,Unknown
Andrik,,unknown,Unknown
Andros_Brax,299.0,died,ASOIAF main
Androw_Ashford,,unknown,Unknown
Androw_Farman,54.0,died,Fire & Blood
Androw_Frey,325.0,born+30,Unknown
Anguy,,unknown,Unknown
Annara_Farring,298.0,died,ASOIAF main
Anselm,54.0,died,Fire & Blood
Anson,,unknown,Unknown
Antario_Jast,308.0,born+30,ASOIAF main
Anya_Waynwood,,unknown,Unknown
Anya_Weatherwax,156.0,born+30,Fire & Blood
Archibald_Yronwood,311.0,born+30,Unknown
Archon_of_Tyrosh_(War_of_the_Ninepenny_Kings),,unknown,Unknown
Archon's_daughter_(Jaehaerys_I),64.0,born+30,Fire & Blood
Archon's_green-haired_daughter,,unknown,Unknown
Ardrian_Celtigar,259.0,born+30,Late Targaryen
Areo_Hotah,287.0,born+30,Robert's Reign
Argella_Durrandon,0.0,event:Aegon's Conquest,Pre-Conquest
Argelle_Stark,166.0,died,Fire & Blood
Argilac_Durrandon,-1.0,died,Pre-Conquest
Argos_Sevenstar,,unknown,Unknown
Argoth_Stone-Skin,,unknown,Unknown
Argrave_the_Defiant,,unknown,Unknown
Arianne_Martell,306.0,born+30,ASOIAF main
Arianne_Tarth,,unknown,Unknown
Arlan_of_Pennytree,209.0,died,Mid-Targaryen
Arlan_I_Durrandon,,unknown,Unknown
Arlan_III_Durrandon,,unknown,Unknown
Arlan_V_Durrandon,,unknown,Unknown
Armen,,unknown,Unknown
Armen_Peake,-2.0,died,Pre-Conquest
Armistead_Vance,,unknown,Unknown
Armond_Caswell,212.0,died,Mid-Targaryen
Armond_Connington,281.0,died,Late Targaryen
Arnel,,unknown,Unknown
Arneld,,unknown,Unknown
Arnell,,unknown,Unknown
Arnold_Arryn,136.0,died,Fire & Blood
Arnolf_Karstark,267.0,born+30,Late Targaryen
Aron_Santagar,299.0,died,ASOIAF main
Arra_Norrey,128.0,died,Fire & Blood
Arrana_Stark,165.0,died,Fire & Blood
Arrec_Durrandon,,unknown,Unknown
Arron,,unknown,Unknown
Arron_Qorgyle,,unknown,Unknown
Arryk_(guard),,unknown,Unknown
Arryk_Cargyll,129.0,died,Fire & Blood
Lord_Arryn_(father_of_Jeyne),97.0,died,Fire & Blood
Arsa_Stark,243.0,born+30,Mid-Targaryen
Arson,,unknown,Unknown
Arstan_Selmy,291.0,born+30,Robert's Reign
Arthor_Celtigar,130.0,died,Fire & Blood
Arthor_Karstark,279.0,born+30,Late Targaryen
Arthor_Oakheart,,unknown,Unknown
Arthur_Ambrose,,unknown,Unknown
Arthur_Dayne,283.0,died,Robert's Reign
Arthur_Goodbrother,,unknown,Unknown
Artos_the_Strong,,unknown,Unknown
Artos_Flint,,unknown,Unknown
Artos_Stark,226.0,died,Mid-Targaryen
Artys_I_Arryn,,unknown,Unknown
Arwen_Upcliff,,unknown,Unknown
Arwood_Frey,312.0,born+30,Unknown
Arwyn_Frey,315.0,born+30,Unknown
Arwyn_Oakheart,290.0,born+30,Robert's Reign
Arya_Flint,263.0,died,Late Targaryen
Arya_Stark,319.0,born+30,Unknown
Arys_Oakheart,300.0,died,ASOIAF main
Ash,,unknown,Unknown
Asha_Greyjoy,305.0,born+30,ASOIAF main
Ashara_Dayne,283.0,died,Robert's Reign
Lord_Ashford,,unknown,Unknown
Lord_Ashford's_daughter,226.0,born+30,Mid-Targaryen
Assadora_of_Ibben,,unknown,Unknown
Aubrey_Ambrose,196.0,event:Blackfyre Rebellion,Fire & Blood
Aubrey_Crakehall,,unknown,Unknown
Aurane_Waters,307.0,born+30,ASOIAF main
Aurion,-102.0,died,Pre-Conquest
Axel_Tully,,unknown,Unknown
Axell_Florent,283.0,event:Robert's Rebellion,Robert's Reign
Ayrmidon,,unknown,Unknown
Azor_Ahai,,unknown,Unknown
Azzak_zo_Ghazeen,,unknown,Unknown
Bael_the_Bard,,unknown,Unknown
Baelish_(hedge_knight),,unknown,Unknown
Baelish_(lord),296.0,died,Robert's Reign
Baelish_(sellsword),,unknown,Unknown
Baela_Targaryen,176.0,died,Fire & Blood
Baelon_Targaryen_(son_of_Aerys),-24.0,born+30,Pre-Conquest
Baelon_Targaryen_(son_of_Viserys_I),105.0,died,Fire & Blood
Baelor_Blacktyde,300.0,died,ASOIAF main
Baelor_Hightower,,unknown,Unknown
Baelor_I_Targaryen,171.0,died,Fire & Blood
Baelor_Targaryen_(son_of_Daeron_II),209.0,died,Mid-Targaryen
Black_Balaq,,unknown,Unknown
Balder,,unknown,Unknown
Baldric_I_Durrandon,,unknown,Unknown
Baldrick,,unknown,Unknown
Balerion_Otherys,202.0,born+30,Mid-Targaryen
Ballabar,,unknown,Unknown
Balman_Byrch,300.0,died,ASOIAF main
Balon_Blackskin,,unknown,Unknown
Balon_Botley,,unknown,Unknown
Balon_Greyjoy,299.0,died,ASOIAF main
Balon_V_Greyjoy,,unknown,Unknown
Balon_Swann,300.0,event:War of the Five Kings,ASOIAF main
Balon_Tawney,,unknown,Unknown
Bambarro_Bazanne,132.0,died,Fire & Blood
Bandy,,unknown,Unknown
Bannen,299.0,died,ASOIAF main
Barba_Bolton,160.0,born+30,Fire & Blood
Barba_Bracken,185.0,born+30,Fire & Blood
Barbara_Bracken,,unknown,Unknown
Barbrey_Dustin,292.0,born+30,Robert's Reign
Barneby,,unknown,Unknown
Barquen_Peake,,unknown,Unknown
Barra,299.0,died,ASOIAF main
Barra's_mother,299.0,died,ASOIAF main
Barre,,unknown,Unknown
Barris_Hightower,,unknown,Unknown
Barristan_Selmy,267.0,born+30,Late Targaryen
Barron_Durrandon,,unknown,Unknown
Barsena_Blackhair,300.0,died,ASOIAF main
Barth,98.0,died,Fire & Blood
Barth_(brewer),,unknown,Unknown
Barthogan_Stark,209.0,died,Mid-Targaryen
Bartimos_Celtigar,130.0,died,Fire & Blood
Bartimus,,unknown,Unknown
Bass,,unknown,Unknown
Bastard_of_Blackhaven,-2.0,died,Pre-Conquest
Bastard_of_Harrenhal,,unknown,Unknown
Bastard's_bastard,,unknown,Unknown
Bathi_Ma_Lo,,unknown,Unknown
Bayard_Norcross,,unknown,Unknown
Bean,130.0,event:Dance of the Dragons,Fire & Blood
Beans,,unknown,Unknown
Bearded_woman,,unknown,Unknown
Beastmaster,,unknown,Unknown
Beatrice_Butterwell,,unknown,Unknown
Bearded_Ben,,unknown,Unknown
Beardless_Dick,,unknown,Unknown
Becca,,unknown,Unknown
Becca_the_Baker,300.0,event:War of the Five Kings,ASOIAF main
Beck,329.0,born+30,Unknown
Bedwyck,,unknown,Unknown
Belandra,,unknown,Unknown
Belaquo_Bonebreaker,,unknown,Unknown
Beldecar,,unknown,Unknown
Beldon,,unknown,Unknown
Lord_Belgrave,,unknown,Unknown
Belicho,,unknown,Unknown
Belicho_Staegone,,unknown,Unknown
Belis,283.0,died,Robert's Reign
Bella,313.0,born+30,Unknown
Bellegere_Otherys,,unknown,Unknown
Bellegere_Otherys_(Courtesan),,unknown,Unknown
Bellena_Hawick,,unknown,Unknown
Bello,,unknown,Unknown
Bellenora_Otherys,200.0,born+30,Mid-Targaryen
Bellonara_Otherys,,unknown,Unknown
Belthasar_Bolton,,unknown,Unknown
Belwas,,unknown,Unknown
Ben,323.0,born+30,Unknown
Ben_(Big_Belly),,unknown,Unknown
Ben_Beesbury,297.0,died,Robert's Reign
Ben_Blackthumb,263.0,born+30,Late Targaryen
Ben_Bones,,unknown,Unknown
Ben_Bushy,299.0,died,ASOIAF main
Ben_Buttercakes,130.0,died,Fire & Blood
Ben_Coldwater,,unknown,Unknown
Ben_Plumm,,unknown,Unknown
Bendamure,,unknown,Unknown
Benedar_Belmore,300.0,event:War of the Five Kings,ASOIAF main
Benedict,300.0,event:War of the Five Kings,ASOIAF main
Benedict_Blackmont,,unknown,Unknown
Benedict_Broom,,unknown,Unknown
Benedict_I_Justman,,unknown,Unknown
Benedict_II_Justman,,unknown,Unknown
Benedict_Royce,211.0,died,Mid-Targaryen
Benerro,,unknown,Unknown
Benethon_Scales,,unknown,Unknown
Benfred_Tallhart,299.0,died,ASOIAF main
Benfrey_Frey,299.0,died,ASOIAF main
Benifer,59.0,died,Fire & Blood
Benjamin_Avery,,unknown,Unknown
Benjen_Stark,300.0,died,ASOIAF main
Benjen_Stark_(Bitter),,unknown,Unknown
Benjen_Stark_(Sweet),,unknown,Unknown
Benjen_Stark_(lord),121.0,died,Fire & Blood
Benjen_Stark_(son_of_Artos),209.0,died,Mid-Targaryen
Benjen_Stark_(son_of_Bennard),126.0,died,Fire & Blood
Benjicot,,unknown,Unknown
Benjicot_Branch,,unknown,Unknown
Benjicot_Blackwood,206.0,died,Mid-Targaryen
Bennard_Brune,,unknown,Unknown
Bennard_Stark,126.0,died,Fire & Blood
Bennarion_Botley,,unknown,Unknown
Bennet,300.0,died,ASOIAF main
Bennifer_Blackwood,,unknown,Unknown
Bennis,,unknown,Unknown
Bent-backed_man,,unknown,Unknown
Benton_Glover,,unknown,Unknown
Beony_Beesbury,,unknown,Unknown
Beqqo,,unknown,Unknown
Beren_Tallhart,319.0,born+30,Unknown
Berena_Hornwood,,unknown,Unknown
Berena_Stark,254.0,born+30,Late Targaryen
Beric_Dondarrion,299.0,died,ASOIAF main
Bernard,,unknown,Unknown
Black_Bernarr,,unknown,Unknown
Brown_Bernarr,299.0,died,ASOIAF main
Bernarr_Brune,42.0,died,Targaryen Conquest
Bernarr_II_Justman,,unknown,Unknown
Beron_(serjeant),,unknown,Unknown
Beron_Stark,226.0,died,Mid-Targaryen
Beron_Blacktyde,,unknown,Unknown
Bertram_Beesbury,,unknown,Unknown
Bertrand_Tyrell,59.0,died,Fire & Blood
Bess_Bracken,,unknown,Unknown
Bessa_(Hag's_Mire),,unknown,Unknown
Bessa_(Winterfell),,unknown,Unknown
Bessaro_Reyaan,,unknown,Unknown
Beth_Cassel,319.0,born+30,Unknown
Betha_Blackwood,239.0,died,Mid-Targaryen
Blushing_Bethany,,unknown,Unknown
Bethany_Blackwood,321.0,born+30,Unknown
Bethany_Bolton,273.0,died,Late Targaryen
Bethany_Bracken,178.0,died,Fire & Blood
Bethany_Fair-Fingers,,unknown,Unknown
Bethany_Hightower,157.0,born+30,Fire & Blood
Bethany_Redwyne,,unknown,Unknown
Bethany_Rosby,282.0,died,Late Targaryen
Betharios_of_Braavos,,unknown,Unknown
Bhakaz_zo_Loraq,,unknown,Unknown
Bharbo,,unknown,Unknown
Big_Boil,,unknown,Unknown
Lord_Bigglestone,130.0,died,Fire & Blood
Muttering_Bill,300.0,died,ASOIAF main
Old_Bill_Bone,,unknown,Unknown
Billy_Burley,130.0,event:Dance of the Dragons,Fire & Blood
Biter,300.0,died,ASOIAF main
Black_Fist,300.0,died,ASOIAF main
Black_Knife,,unknown,Unknown
Blackshield,,unknown,Unknown
Lord_Blacktyde,289.0,died,Robert's Reign
Lord_Blackwood_(Aerys_II),,unknown,Unknown
Blane,,unknown,Unknown
Blind_Lord,,unknown,Unknown
Blood_(the_butcher),130.0,died,Fire & Blood
Bloodbeard,,unknown,Unknown
Bloodstone_Emperor,,unknown,Unknown
Bluetooth,,unknown,Unknown
Bobono,,unknown,Unknown
Bodger,,unknown,Unknown
Bokkoko,,unknown,Unknown
Bonifer_Hasty,274.0,born+30,Late Targaryen
Books,,unknown,Unknown
Borcas,,unknown,Unknown
Boremund_Baratheon,129.0,died,Fire & Blood
Boremund_Harlaw,,unknown,Unknown
Boros_Blount,290.0,born+30,Robert's Reign
Lord_Borrell_(father_of_Godric),298.0,died,ASOIAF main
Borroq,,unknown,Unknown
Borros_Baratheon,131.0,died,Fire & Blood
Bors,,unknown,Unknown
Bors_the_Breaker,,unknown,Unknown
Borys_Baratheon,61.0,died,Fire & Blood
Bowen_Marsh,,unknown,Unknown
Boy,314.0,born+30,Unknown
Braavosi_daggerman,,unknown,Unknown
Lady_Bracken,,unknown,Unknown
Lord_Bracken,178.0,died,Fire & Blood
Lord_Bracken_(father_of_Otho),211.0,died,Mid-Targaryen
Lord_Bracken_(Aerys_II),,unknown,Unknown
Bradamar_Frey,319.0,born+30,Unknown
Bramm_of_Blackhull,42.0,died,Targaryen Conquest
Branda_Stark,279.0,born+30,Late Targaryen
Brandon_of_the_Bloody_Blade,,unknown,Unknown
Brandon_Norrey,,unknown,Unknown
Brandon_Norrey_(son_of_Brandon),,unknown,Unknown
Brandon_Snow,,unknown,Unknown
Brandon_the_Builder,,unknown,Unknown
Brandon_Stark_(son_of_Bran_the_Builder),,unknown,Unknown
Brandon_Stark_(Breaker),,unknown,Unknown
Brandon_Stark_(Shipwright),0.0,event:Aegon's Conquest,Pre-Conquest
Brandon_Stark_(Burner),0.0,event:Aegon's Conquest,Pre-Conquest
Brandon_Stark_(Ice_Eyes),,unknown,Unknown
Brandon_Stark_(Bad),,unknown,Unknown
Brandon_IX_Stark,,unknown,Unknown
Brandon_Stark_(the_Boisterous),0.0,event:Aegon's Conquest,Pre-Conquest
Brandon_Stark_(the_daughterless),,unknown,Unknown
Brandon_Stark_(father_of_Walton),49.0,died,Targaryen Conquest
Brandon_Stark_(son_of_Bennard),126.0,died,Fire & Blood
Brandon_Stark_(son_of_Cregan),212.0,died,Mid-Targaryen
Brandon_Stark_(son_of_Willam),226.0,died,Mid-Targaryen
Brandon_Stark_(son_of_Artos),209.0,died,Mid-Targaryen
Brandon_Stark,282.0,died,Late Targaryen
Bran_Stark,320.0,born+30,Unknown
Brandon_Tallhart,314.0,born+30,Unknown
Branston_Cuy,,unknown,Unknown
Brass-seller,,unknown,Unknown
Braxton_Beesbury,84.0,died,Fire & Blood
Brea,,unknown,Unknown
Brella,,unknown,Unknown
Brendel_Byrne,,unknown,Unknown
Brenett,,unknown,Unknown
Briar,,unknown,Unknown
Brienne_Tarth,310.0,born+30,Unknown
Briony,306.0,born+30,ASOIAF main
Brogg,,unknown,Unknown
Broken_Nose,,unknown,Unknown
Bronn,298.0,born+30,ASOIAF main
Brude,,unknown,Unknown
Brus_Buckler,,unknown,Unknown
Brusco,,unknown,Unknown
Big_Brusco,,unknown,Unknown
Brute,,unknown,Unknown
Bryan_Frey,321.0,born+30,Unknown
Bryan_Fossoway,299.0,died,ASOIAF main
Bryan_of_Oldtown,,unknown,Unknown
Bryce_Caron,299.0,died,ASOIAF main
Bryen,250.0,born+30,Late Targaryen
Bryen_Caron,289.0,died,Robert's Reign
Bryen_Farring,300.0,died,ASOIAF main
Bryndemere_Tarth,130.0,event:Dance of the Dragons,Fire & Blood
Brynden_Blackwood,312.0,born+30,Unknown
Brynden_Rivers,205.0,born+30,Mid-Targaryen
Brynden_Tully,275.0,born+30,Late Targaryen
Bryndon_Hightower,130.0,died,Fire & Blood
Bu_Gai,,unknown,Unknown
Lady_Buckler,133.0,died,Fire & Blood
Lord_Buckler,129.0,died,Fire & Blood
Buford_Bulwer,182.0,born+30,Fire & Blood
Lady_Bulwer's_brother,,unknown,Unknown
Bump,,unknown,Unknown
Burning_Knight,130.0,died,Fire & Blood
Burton_Crakehall,299.0,died,ASOIAF main
Burton_Humble,,unknown,Unknown
Butterbumps,,unknown,Unknown
Butterwell_(Hand_of_the_King),,unknown,Unknown
Lord_Butterwell,130.0,event:Dance of the Dragons,Fire & Blood
Butts,,unknown,Unknown
Buu,,unknown,Unknown
Byam_Flint,299.0,died,ASOIAF main
Byan_Votyris,,unknown,Unknown
Byren_Flowers,196.0,event:Blackfyre Rebellion,Fire & Blood
Byron_Swann,130.0,died,Fire & Blood
Byron_the_Beautiful,,unknown,Unknown
Bywin_Strong,105.0,died,Fire & Blood
Cadwyl,,unknown,Unknown
Cadwyn,299.0,died,ASOIAF main
Lord_Cafferen,282.0,died,Late Targaryen
Caggo,,unknown,Unknown
Caleotte,,unknown,Unknown
Calla_Blackfyre,225.0,born+30,Mid-Targaryen
Calon,,unknown,Unknown
Calor,,unknown,Unknown
Camarron_of_the_Count,,unknown,Unknown
Cameron_Tarth,133.0,died,Fire & Blood
Canker_Jeyne,,unknown,Unknown
Canty,,unknown,Unknown
Captain's_sister,,unknown,Unknown
Captain_of_the_Myraham,,unknown,Unknown
Captain_of_the_Prince_Aemon,,unknown,Unknown
Captain_of_the_River_Arrow,,unknown,Unknown
Captain_of_the_Selaesori_Qhoran,300.0,died,ASOIAF main
Captain_of_the_Wildwind,,unknown,Unknown
Carellen_Smallwood,300.0,event:War of the Five Kings,ASOIAF main
Carolei_Waynwood,,unknown,Unknown
Carrot,,unknown,Unknown
Casper_Straw,45.0,event:Faith Militant,Targaryen Conquest
Casper_Wylde,300.0,event:War of the Five Kings,ASOIAF main
Caspor_Hill,,unknown,Unknown
Cass,,unknown,Unknown
Cassana_Estermont,278.0,died,Late Targaryen
Cassander,,unknown,Unknown
Cassandra_Baratheon,146.0,born+30,Fire & Blood
Cassella_Vaith,,unknown,Unknown
Cassella_Staunton,54.0,died,Fire & Blood
Casso_Mogat,,unknown,Unknown
Caster,,unknown,Unknown
Castos,,unknown,Unknown
Lady_Caswell,130.0,died,Fire & Blood
Lord_Caswell,,unknown,Unknown
Lord_Caswell_(Dance),129.0,died,Fire & Blood
Catelyn_Bracken,,unknown,Unknown
Catelyn_Stark,299.0,died,ASOIAF main
Catspaw,298.0,died,ASOIAF main
Cayn,298.0,died,ASOIAF main
Cedra,,unknown,Unknown
Cedric_Payne,298.0,died,ASOIAF main
Cedrik_Storm,,unknown,Unknown
Celia_Tully,,unknown,Unknown
Cellador,,unknown,Unknown
Cerelle_Lannister_(daughter_of_Tybolt),213.0,died,Mid-Targaryen
Cerelle_Lannister_(daughter_of_Jason),160.0,born+30,Fire & Blood
Cerenna_Lannister,303.0,born+30,ASOIAF main
Cerion_Lannister,,unknown,Unknown
Cerissa_Brax,212.0,born+30,Mid-Targaryen
Cerrick,,unknown,Unknown
Cersei_Frey,322.0,born+30,Unknown
Cersei_Lannister,296.0,born+30,Robert's Reign
Ceryse_Hightower,45.0,died,Targaryen Conquest
Cetheres,,unknown,Unknown
Chai_Duq,,unknown,Unknown
Chain,,unknown,Unknown
Lord_Chambers,130.0,event:Dance of the Dragons,Fire & Blood
Charioteer,,unknown,Unknown
Chatana_Qo,,unknown,Unknown
Chataya,301.0,born+30,ASOIAF main
Chayle,299.0,died,ASOIAF main
Cheese_(the_rat-catcher),130.0,event:Dance of the Dragons,Fire & Blood
