ID,born_raw,died_raw
Alys_Rivers,In or before 89 AC [2],
Alys_Rivers's_son,Harrenhal,
Alys_Stackspear,~ 192 – 233 AC [1],244 AC or 245 AC [1]
Alys_Stark,134 – 163 AC [1],
Alys_Stone,298 AC Ironoaks,
Alys_Turnberry,67 AC [2],
Alysane_Mormont,~ 273 – 278 AC [3] Bear Island [4],
Alysanne_(daughter_of_Aegon_IV),155 AC [1] King's Landing,
Alysanne_Blackwood,113 AC [3],136 – 179 AC [3]
Alysanne_Bracken,,
Alysanne_Bulwer,291 AC [2] Blackcrown [3],
Alysanne_Farman,,In or before 219 AC [2]
Alysanne_Hightower,,
Alysanne_Lefford,,
Alysanne_Osgrey,188 – 190 AC [1] Standfast [2],209 AC or 210 AC [1] King's Landing
Alysanne_Stark,188 – 225 AC [1],
Alysanne_Targaryen,36 AC [3] King's Landing [4],1 st day of the 7 th moon of 100 AC (aged 64) [5] Dragonstone [5]
Alysanne_Tarth,,
Alyse_Ladybright,,
Alyssa_Arryn,,
Alyssa_Blackwood,~ 217 – 254 AC [1],269 – 278 AC [1]
Alyssa_Royce,103 – 133 AC [1],
Alyssa_Targaryen,late 60 AC [1] Dragonstone [1],late 84 AC (aged 24) [1]
Alyssa_Velaryon,7 AC [1],54 AC Storm's End [2]
Alyx_Frey,282 AC [1],
Amabel,,
Amanda_Arryn,62 – 74 AC [1],
Amarei_Crakehall,~ 212 – 246 AC [2],264 AC or 265 AC [2]
Amarys,,
Amaury_Peake,,"135 AC [1] Maegor's Holdfast , King's Landing [1]"
Ambrode,,
Ambrose_Butterwell,161 AC or 162 AC [1] [N 1],
Amerei_Frey,282 AC [3] the Twins [4],
Amethyst_Empress,,
Amory_Lorch,In or before 246 AC [3] Westerlands [4],299 AC [5] Harrenhal [5]
Amos_Bracken,,129 AC the Burning Mill
Andahar,,
Andar_Royce,Runestone [2],
Anders_Yronwood,Yronwood [3],
Andrew_Estermont,,
Andrew_Tollett,,
Andrey_Charlton,,299 AC the riverlands
Andrey_Dalt,Lemonwood [1],
Andrik,,
Andros_Brax,In or before 264 AC [2],299 AC [1] Riverrun [1]
Androw_Ashford,Ashford [1],
Androw_Farman,32 AC [1],54 AC Dragonstone
Androw_Frey,295 AC or 296 AC [1],
Anguy,Dornish Marches [4],
Annara_Farring,~ 240 – 273 AC [1],292 – 298 AC [1]
Anselm,,54 AC Dragonstone
Anson,,
Antario_Jast,In or before 278 AC [1],
Anya_Waynwood,,
Anya_Weatherwax,126 AC [1],
Archibald_Yronwood,In or before 281 AC [3] Dorne [4],
Archon_of_Tyrosh_(War_of_the_Ninepenny_Kings),,
Archon's_daughter_(Jaehaerys_I),34 AC [1],
Archon's_green-haired_daughter,,
Ardrian_Celtigar,In or after 229 AC [2] Claw Isle [3],
Areo_Hotah,In or before 257 AC [1] Norvos,
Argella_Durrandon,,
Argelle_Stark,155 – 210 AC [2],In or after 166 AC [2]
Argilac_Durrandon,,2 – 1 BC south of Bronzegate in the Last Storm
Argos_Sevenstar,Essos,Weeping Water
Argoth_Stone-Skin,,
Argrave_the_Defiant,Nunny,
Arianne_Martell,276 AC [1] Sunspear [2],
Arianne_Tarth,,
Arlan_of_Pennytree,149 – 153 AC [1] Pennytree,"209 AC the Reach , near Ashford"
Arlan_I_Durrandon,,
Arlan_III_Durrandon,,
Arlan_V_Durrandon,,
Armen,Westeros [1],
Armen_Peake,,2 BC the Field of Fire [1]
Armistead_Vance,,
Armond_Caswell,Bitterbridge [1],196 – 212 AC
Armond_Connington,In or before 249 AC [2],In or before 281 AC [2]
Arnel,,
Arneld,,
Arnell,,
Arnold_Arryn,In or before 107 AC [2],In or after 136 AC
Arnolf_Karstark,In or before 237 AC [3] Karhold [4],
Aron_Santagar,Dorne [1],299 AC King's Landing
Arra_Norrey,In or before 116 AC [2],128 AC [1]
Arrana_Stark,154 – 209 AC [2],In or after 165 AC [2]
Arrec_Durrandon,,
Arron,Fair Isle [1],
Arron_Qorgyle,,
Arryk_(guard),,
Arryk_Cargyll,In or before 89 AC [2],"129 AC [3] Dragonstone , the crownlands"
Lord_Arryn_(father_of_Jeyne),In or before 80 AC [2],97 AC the Mountains of the Moon [1]
Arsa_Stark,173 – 213 AC [1],
Arson,,
Arstan_Selmy,In or after 261 AC [2],
Arthor_Celtigar,115 AC [1],130 AC [2] King's Landing [2]
Arthor_Karstark,249 AC or 250 AC [1],
Arthor_Oakheart,,
Arthur_Ambrose,,
Arthur_Dayne,260 AC or before [1] Dorne [2],"283 AC the tower of joy , Dorne"
Arthur_Goodbrother,,
Artos_the_Strong,,
Artos_Flint,,
Artos_Stark,186 – 210 AC [3],226 AC or after [3]
Artys_I_Arryn,Giant's Lance,
Arwen_Upcliff,,
Arwood_Frey,260 – 282 AC [1],
Arwyn_Frey,285 AC [1],
Arwyn_Oakheart,In or before 260 AC [2],
Arya_Flint,In or before 237 AC [2],before ~ 215 – 263 AC [2]
Arya_Stark,"289 AC (age 11) [19] Winterfell , the North [20]",
Arys_Oakheart,In or before 274 AC [2] Old Oak [3],300 AC the Greenblood [4]
Ash,,
Asha_Greyjoy,275 AC or 276 AC [3] Pyke [4],
Ashara_Dayne,260 – 269 AC [3] Dorne [4],"283 AC Starfall , Dorne"
Lord_Ashford,Ashford [1],
Lord_Ashford's_daughter,196 AC,
Assadora_of_Ibben,Ibben,
Aubrey_Ambrose,Westeros [1],
Aubrey_Crakehall,,
Aurane_Waters,277 AC or 278 AC [5] Driftmark [6],
Aurion,,102 BC or shortly after Valyrian peninsula
Axel_Tully,,
Axell_Florent,Brightwater Keep [1],
Ayrmidon,,
Azor_Ahai,Essos [4],
Azzak_zo_Ghazeen,Meereen,
Bael_the_Bard,,
Baelish_(hedge_knight),,
Baelish_(lord),at least several years before 256 AC [1],282 – 296 AC [1]
Baelish_(sellsword),,
Baela_Targaryen,116 AC [6] Pentos,136 – 176 AC [7]
Baelon_Targaryen_(son_of_Aerys),88 – 54 BC [2] Dragonstone,
Baelon_Targaryen_(son_of_Viserys_I),105 AC [1] King's Landing [1],105 AC [1] King's Landing [1]
Baelor_Blacktyde,,300 AC [2] Old Wyk [2]
Baelor_Hightower,Oldtown [3],
Baelor_I_Targaryen,144 AC [5] King's Landing [6],early 171 AC King's Landing [6]
Baelor_Targaryen_(son_of_Daeron_II),170 AC [4],209 AC [5] Ashford [1]
Black_Balaq,,
Balder,,
Baldric_I_Durrandon,,
Baldrick,,
Balerion_Otherys,163 – 172 AC [1],
Ballabar,Westeros [1],
Balman_Byrch,Crownlands [1],300 AC Stokeworth
Balon_Blackskin,,
Balon_Botley,,
Balon_Greyjoy,"255 – 261 AC [8] Pyke , the Iron Islands [9]","299 AC Pyke, the Iron Islands"
Balon_V_Greyjoy,,
Balon_Swann,Stonehelm [2],
Balon_Tawney,,
Bambarro_Bazanne,,132 AC [1] Disputed Lands
Bandy,,
Bannen,or near White Harbor,299 AC Craster's Keep
Barba_Bolton,103 – 130 AC [1],
Barba_Bracken,155 AC [1],
Barbara_Bracken,,
Barbrey_Dustin,~ 262 AC [2] the Rills [3],
Barneby,,
Barquen_Peake,,
Barra,298 AC King's Landing,299 AC King's Landing
Barra's_mother,,299 AC King's Landing
Barre,,
Barris_Hightower,,
Barristan_Selmy,"236 – 237 AC [7] (age 63) [8] Harvest Hall , the stormlands [3]",
Barron_Durrandon,,
Barsena_Blackhair,270 AC (roughly) [1],300 AC [2] Meereen [2]
Barth,In or before 37 AC [1],98 AC [2] [N 1] Red Keep [3]
Barth_(brewer),,
Barthogan_Stark,139 – 182 AC [3],184 – 209 AC [3]
Bartimos_Celtigar,,130 AC King's Landing
Bartimus,White Harbor,
Bass,,
Bastard_of_Blackhaven,,2 BC [1] south of Bronzegate [1]
Bastard_of_Harrenhal,,
Bastard's_bastard,,
Bathi_Ma_Lo,,
Bayard_Norcross,,
Bean,,
Beans,Myr,
Bearded_woman,,
Beastmaster,Yunkai,
Beatrice_Butterwell,,
Bearded_Ben,,
Beardless_Dick,,
Becca,,
Becca_the_Baker,,Riverlands
Beck,299 AC,Donnelwood
Bedwyck,Westeros [1],
Belandra,,
Belaquo_Bonebreaker,,
Beldecar,,
Beldon,,
Lord_Belgrave,,
Belicho,,
Belicho_Staegone,,
Belis,,283 AC King's Landing
Bella,283 AC [1] Stoney Sept [2],
Bellegere_Otherys,,
Bellegere_Otherys_(Courtesan),,
Bellena_Hawick,,
Bello,,
Bellenora_Otherys,161 – 170 AC [1],
Bellonara_Otherys,,
Belthasar_Bolton,,
Belwas,,
Ben,293 AC or 294 AC [1] Riverlands,
Ben_(Big_Belly),,
Ben_Beesbury,210 – 217 AC [2],290 – 297 AC [2]
Ben_Blackthumb,before 233 AC [2] Westeros [3],
Ben_Bones,North [1],
Ben_Bushy,,299 AC the Blackwater Rush
Ben_Buttercakes,,"130 AC [1] Hogs Head , Bitterbridge [1]"
Ben_Coldwater,,
Ben_Plumm,Essos [1],
Bendamure,,
Benedar_Belmore,,
Benedict,,
Benedict_Blackmont,,
Benedict_Broom,,
Benedict_I_Justman,,
Benedict_II_Justman,,
Benedict_Royce,or before 285 AC [1],or after ~ 211 AC [1]
Benerro,,
Benethon_Scales,,
Benfred_Tallhart,279 – 289 AC [1],299 AC Stony Shore
Benfrey_Frey,270 – 279 AC [1],299 AC the Twins
Benifer,,59 AC [1] King's Landing [1]
Benjamin_Avery,,
Benjen_Stark,"267 AC or later [5] Winterfell , the North [6]",298 – 300 AC beyond the Wall [7] (presumed)
Benjen_Stark_(Bitter),,
Benjen_Stark_(Sweet),,
Benjen_Stark_(lord),In or before 84 AC [2],101 – 121 AC [2]
Benjen_Stark_(son_of_Artos),In or after 198 AC [1],In or after 209 AC [1]
Benjen_Stark_(son_of_Bennard),In or before 124 AC [1],In or after 126 AC [1]
Benjicot,,
Benjicot_Branch,,
Benjicot_Blackwood,118 AC [3],136 – 206 AC [3]
Bennard_Brune,,
Bennard_Stark,In or before 105 AC [3],In or after 126 AC [3]
Bennarion_Botley,,
Bennet,,300 AC [1] Saltpans [1]
Bennifer_Blackwood,,
Bennis,Westeros [2],
Bent-backed_man,,
Benton_Glover,,
Beony_Beesbury,,
Beqqo,,
Beren_Tallhart,289 AC [1],
Berena_Hornwood,,
Berena_Stark,187 – 224 AC [1],
Beric_Dondarrion,276 AC or 277 AC [8] Blackhaven [9],299 AC (his seventh and final death) [8] the riverlands
Bernard,,
Black_Bernarr,Westeros [1],
Brown_Bernarr,Westeros [1],299 AC Fist of the First Men
Bernarr_Brune,,42 AC King's Landing [1]
Bernarr_II_Justman,,
Beron_(serjeant),,
Beron_Stark,172 – 196 AC [2],212 – 226 AC [2]
Beron_Blacktyde,,
Bertram_Beesbury,,
Bertrand_Tyrell,,59 AC near Highgarden [1]
Bess_Bracken,,
Bessa_(Hag's_Mire),,Hag's Mire
Bessa_(Winterfell),,
Bessaro_Reyaan,,
Beth_Cassel,"288 – 289 AC [1] Winterfell , the North [2]",
Betha_Blackwood,201 AC [2],In or after 239 AC [2]
Blushing_Bethany,,
Bethany_Blackwood,291 AC or 292 AC [1] Raventree Hall [2],
Bethany_Bolton,or before 269 AC [1] the Rills [2],or after 273 AC [1] the Dreadfort [2]
Bethany_Bracken,156 AC or later [1],178 AC
Bethany_Fair-Fingers,,
Bethany_Hightower,In or before 127 AC [1],
Bethany_Redwyne,,
Bethany_Rosby,~ 230 – 266 AC [1],"282 AC , 283 AC or 284 AC [1]"
Betharios_of_Braavos,,
Bhakaz_zo_Loraq,Meereen,
Bharbo,,
Big_Boil,,
Lord_Bigglestone,,130 AC [1] [2] western Gods Eye [1] [2]
Muttering_Bill,,300 AC the haunted forest
Old_Bill_Bone,Summer Isles,
Billy_Burley,,
Biter,Westeros [1],300 AC the inn at the crossroads
Black_Fist,,300 AC Meereen
Black_Knife,,
Blackshield,Uplands,
Lord_Blacktyde,,289 AC
Lord_Blackwood_(Aerys_II),,
Blane,,
Blind_Lord,,
Blood_(the_butcher),,"130 AC [1] Red Keep , King's Landing [1]"
Bloodbeard,,
Bloodstone_Emperor,,
Bluetooth,,
Bobono,,
Bodger,,
Bokkoko,,
Bonifer_Hasty,In or before 244 AC [1] Stormlands [2],
Books,,
Borcas,,
Boremund_Baratheon,52 AC [2],101 – 129 AC [3]
Boremund_Harlaw,,
Boros_Blount,"249 – 260 AC [2] Crownlands , Westeros [3]",
Lord_Borrell_(father_of_Godric),,282 – 298 AC
Borroq,,
Borros_Baratheon,64 – 104 AC [2],131 AC the kingsroad [3]
Bors,,
Bors_the_Breaker,,
Borys_Baratheon,18 – 23 AC [1],61 AC the Red Mountains of Dorne
Bowen_Marsh,North [4],
Boy,282 – 284 AC [1],
Braavosi_daggerman,,
Lady_Bracken,,
Lord_Bracken,,178 AC
Lord_Bracken_(father_of_Otho),,211 AC or 212 AC [1] the Trident [2] (unconfirmed)
Lord_Bracken_(Aerys_II),,
Bradamar_Frey,289 AC [1],
Bramm_of_Blackhull,Blackhull,42 AC King’s Landing
Branda_Stark,202 – 249 AC [1],
Brandon_of_the_Bloody_Blade,,
Brandon_Norrey,North [1],
Brandon_Norrey_(son_of_Brandon),,
Brandon_Snow,,
Brandon_the_Builder,,
Brandon_Stark_(son_of_Bran_the_Builder),,
Brandon_Stark_(Breaker),,
Brandon_Stark_(Shipwright),,
Brandon_Stark_(Burner),,
Brandon_Stark_(Ice_Eyes),,
Brandon_Stark_(Bad),,
Brandon_IX_Stark,,
Brandon_Stark_(the_Boisterous),,
Brandon_Stark_(the_daughterless),,
Brandon_Stark_(father_of_Walton),,49 AC Winterfell [2]
Brandon_Stark_(son_of_Bennard),In or before 125 AC [1],In or after 126 AC [1]
Brandon_Stark_(son_of_Cregan),140 – 183 AC [2],184 – 212 AC [2]
Brandon_Stark_(son_of_Willam),197 – 223 AC [1] Winterfell [2],200 – 226 AC [1] Winterfell [2]
Brandon_Stark_(son_of_Artos),In or after 198 AC [1],In or after 209 AC [1]
Brandon_Stark,"262 AC [3] Winterfell , the North [4]","282 AC Great Hall , King's Landing"
Bran_Stark,"290 AC (age 9) [5] Winterfell , the North",
Brandon_Tallhart,284 AC or 285 AC [1],
Branston_Cuy,,
Brass-seller,,
Braxton_Beesbury,65 AC [2],84 AC [1] King's Landing [1]
Brea,,
Brella,,
Brendel_Byrne,,
Brenett,,
Briar,,
Brienne_Tarth,280 AC [4] Evenfall Hall [5],
Briony,or before 276 AC [1],
Brogg,,
Broken_Nose,,
Bronn,264 – 268 AC [3],
Brude,the shadow city of Sunspear,
Brus_Buckler,,
Brusco,,
Big_Brusco,,
Brute,,
Bryan_Frey,281 – 291 AC [1],
Bryan_Fossoway,,299 AC [2] Blackwater Rush [2]
Bryan_of_Oldtown,Oldtown,
Bryce_Caron,In or before 276 AC [5] Nightsong [6],299 AC the Blackwater Rush [7]
Bryen,In or before 220 AC [1],
Bryen_Caron,,289 AC or 290 AC [1]
Bryen_Farring,,300 AC the crofters' village [1]
Bryndemere_Tarth,,
Brynden_Blackwood,In or before 282 AC [1],
Brynden_Rivers,175 AC [8] King's Landing [9],
Brynden_Tully,"243 – 245 AC [2] Riverrun , the riverlands [3]",
Bryndon_Hightower,,130 AC [1] Tumbleton [1]
Bu_Gai,,
Lady_Buckler,,133 AC the Blackwater Rush [1]
Lord_Buckler,,"129 AC the Red Keep , King's Landing [1]"
Buford_Bulwer,In or before 152 AC [2] Blackcrown [3],
Lady_Bulwer's_brother,,
Bump,Beyond the Wall,Beyond the Wall
Burning_Knight,,130 AC Dragonpit [1]
Burton_Crakehall,,299 AC the riverlands
Burton_Humble,,
Butterbumps,Westeros [2],
Butterwell_(Hand_of_the_King),,
Lord_Butterwell,,
Butts,,
Buu,,
Byam_Flint,,299 AC Craster's Keep
Byan_Votyris,,
Byren_Flowers,Reach [1],
Byron_Swann,,130 AC [1] either King's Landing or the riverlands [1]
Byron_the_Beautiful,Westeros [1],
Bywin_Strong,,73 – 105 AC
Cadwyl,,
Cadwyn,,299 AC Harrenhal [1]
Lord_Cafferen,,282 AC Ashford [1]
Caggo,Dothraki Sea [3],
Caleotte,Westeros [1],
Calla_Blackfyre,185 – 195 AC [1],
Calon,,
Calor,,
Camarron_of_the_Count,,
Cameron_Tarth,,92 – 133 AC [1]
Canker_Jeyne,,
Canty,,
Captain's_sister,Duskendale [1],
Captain_of_the_Myraham,Oldtown,
Captain_of_the_Prince_Aemon,,
Captain_of_the_River_Arrow,,
Captain_of_the_Selaesori_Qhoran,,300 AC Gulf of Grief
Captain_of_the_Wildwind,,
Carellen_Smallwood,Acorn Hall [1],
Carolei_Waynwood,,
Carrot,,
Casper_Straw,,
Casper_Wylde,,
Caspor_Hill,,
Cass,,
Cassana_Estermont,~ 225 – 250 AC [1],"278 AC or early 279 AC [1] Shipbreaker Bay , near Storm's End [2]"
Cassander,,
Cassandra_Baratheon,111 – 116 AC [3],
Cassella_Vaith,,
Cassella_Staunton,40 AC [1],54 AC Dragonstone [1]
Casso_Mogat,Sisterton,
Caster,Dawn Age,
Castos,,
Lady_Caswell,,130 AC Bitterbridge [1]
Lord_Caswell,,
Lord_Caswell_(Dance),,"129 AC the Red Keep , King's Landing [1]"
Catelyn_Bracken,,
Catelyn_Stark,"264 – 265 AC [7] Riverrun , the riverlands [6]","299 AC (her first temporary death) [7] the Twins , the riverlands"
Catspaw,,298 AC Winterfell
Cayn,,298 AC King's Landing
Cedra,,
Cedric_Payne,,298 AC the riverlands
Cedrik_Storm,,
Celia_Tully,,
Cellador,,
Cerelle_Lannister_(daughter_of_Tybolt),209 AC [2],213 AC [2]
Cerelle_Lannister_(daughter_of_Jason),103 – 130 AC [1],
Cerenna_Lannister,or after ~ 273 AC [1],
Cerion_Lannister,,
Cerissa_Brax,In or before 182 AC [1],
Cerrick,Iron Islands [1],
Cersei_Frey,292 AC or 293 AC [3],
Cersei_Lannister,"266 AC [5] [6] Casterly Rock , the westerlands",
Ceryse_Hightower,2 AC [2],45 AC [3] King's Landing [3]
Cetheres,,
Chai_Duq,,
Chain,,
Lord_Chambers,,
Charioteer,Yunkai,
Chatana_Qo,,
Chataya,In or before 271 AC [1] Summer Isles [2],
Chayle,near the White Knife,299 AC Winterfell
Cheese_(the_rat-catcher),,
Chella,,
Chett,Hag's Mire,299 AC Fist of the First Men
Cheyk,,
Chezdhar_zo_Rhaezn,Yunkai,
Chiggen,,298 AC the Mountains of the Moon
Childer,,
Chiswyck,Westerlands [1],299 AC Harrenhal
Choq_Choq,,
Lord_Chyttering_(father_of_Lucos),In or before 271 AC,299 AC [1] Blackwater Rush [1]
Cissy,,
Clarence_Cargyll,,
Clarence_Charlton,Riverlands [1],
Clarence_Crabb,,
Clarence_Crabb_(Short),,
Clarent_Crakehall,,130 AC Gods Eye [1]
Clarice_Osgrey,,
Clarisse_Dayne,,
Clayton_Suggs,"Flea Bottom , King's Landing",
Clegane_(father_of_Gregor_and_Sandor),,
Clegane_(founder),,
Clegg,,
Clement,251 AC or 252 AC [1],300 AC [2]
Clement_Celtigar,,
Clement_Crabb,,98 – 129 AC
Clement_Piper,,
Cleoden_I_Durrandon,,
Cleon,,300 AC Astapor
Cleon_the_Second,,300 AC Astapor
Cleos_Frey,257 – 276 AC [2] Casterly Rock,299 AC near Maidenpool
Cletus_Yronwood,Dorne [1],300 AC the coast of the Disputed Lands [2]
Cley_Cerwyn,284 AC or 285 AC [1] Cerwyn [2],299 AC Winterfell
Cleyton_Caswell,Bitterbridge [1],
Clifford_Conklyn,Reach [1],
Clifford_Swann,,
Clubfoot_Karl,,300 AC Haunted forest
Clydas,240 AC or before [1],
Coals,,
Cohollo,,~ 298 – 299 AC Dothraki sea
Coldhands,,"""long ago"" [1] Beyond the Wall [1]"
Colemon,,
Colen_of_Greenpools,,
Colin_Florent,,
Collio_Quaynis,,
Colloquo_Votar,,
Colmar_Frey,288 AC [1],
Conn,,299 AC the Green Fork
